Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	2386.02	2443.52	2386.02	2443.52	16483200	2292.41
04/01/2006	2455.49	2491.43	2426.75	2454.3	5522100	2302.52
05/01/2006	2449.51	2449.51	2384.82	2390.81	4832800	2242.96
06/01/2006	2403.99	2436.33	2353.68	2436.33	6818100	2285.67
09/01/2006	2445.91	2448.31	2403.99	2411.18	3983600	2262.07
10/01/2006	2408.78	2408.78	2328.53	2334.52	8843400	2190.15
11/01/2006	2354.88	2366.86	2344.1	2363.26	7359800	2217.12
12/01/2006	2370.45	2398	2354.88	2395.6	6518000	2247.46
13/01/2006	2395.6	2399.2	2348.89	2384.82	4044300	2237.35
16/01/2006	2427.95	2429.14	2374.04	2389.62	6283000	2241.84
17/01/2006	2366.86	2419.56	2358.47	2411.18	7837900	2262.07
18/01/2006	2364.46	2381.23	2342.9	2374.04	6698000	2227.23
19/01/2006	2405.19	2423.15	2389.62	2403.99	6529800	2255.32
20/01/2006	2414.77	2459.09	2401.59	2414.77	6417600	2265.44
23/01/2006	2393.21	2408.78	2375.24	2403.99	5188800	2255.32
24/01/2006	2417.16	2423.15	2372.85	2378.84	5025000	2231.73
25/01/2006	2400.4	2484.24	2386.02	2483.04	8448000	2329.49
26/01/2006	2495.02	2541.74	2473.46	2540.54	7671900	2383.43
27/01/2006	2550.12	2633.97	2550.12	2619.59	10533400	2457.6
30/01/2006	2635.16	2659.12	2580.07	2593.24	5265900	2432.87
31/01/2006	2599.23	2617.2	2551.32	2587.25	7352100	2427.26
01/02/2006	2594.44	2659.12	2586.05	2636.36	5923500	2473.33
02/02/2006	2641.15	2675.89	2589.65	2595.64	6150900	2435.12
03/02/2006	2611.21	2611.21	2547.73	2582.46	6275200	2422.76
06/02/2006	2584.86	2608.81	2568.09	2572.88	7232500	2413.77
07/02/2006	2582.46	2596.84	2487.84	2499.81	7436000	2345.22
08/02/2006	2423.15	2472.26	2381.23	2409.98	14299900	2260.94
09/02/2006	2460.29	2501.01	2438.73	2497.42	7117400	2342.98
10/02/2006	2491.43	2507	2424.35	2432.74	9394600	2282.29
13/02/2006	2371.65	2460.29	2371.65	2455.49	10286600	2303.65
14/02/2006	2445.91	2479.45	2425.55	2463.88	7322400	2311.51
15/02/2006	2471.07	2473.46	2425.55	2442.32	10467400	2291.28
16/02/2006	2441.12	2449.51	2393.21	2421.96	6654600	2272.18
17/02/2006	2424.35	2605.22	2389.62	2569.29	15984300	2410.4
20/02/2006	2563.3	2583.66	2522.57	2551.32	5380900	2393.54
21/02/2006	2563.3	2594.44	2548.92	2565.69	5957200	2407.03
22/02/2006	2605.22	2645.95	2581.26	2633.97	10245100	2471.08
23/02/2006	2650.74	2754.95	2610.01	2626.78	7730500	2464.34
24/02/2006	2621.99	2621.99	2527.36	2586.05	7160000	2426.13
27/02/2006	2587.25	2610.01	2572.88	2592.04	4801400	2431.75
28/02/2006	2576.47	2580.07	2534.55	2547.73	10208300	2390.17
01/03/2006	2547.73	2596.84	2547.73	2589.65	3711100	2429.5
02/03/2006	2587.25	2627.98	2539.34	2581.26	5725200	2421.64
03/03/2006	2572.88	2604.02	2545.33	2554.91	5415100	2396.91
06/03/2006	2570.48	2594.44	2539.34	2551.32	6783300	2470.59
07/03/2006	2539.34	2539.34	2438.73	2455.49	11459500	2377.8
08/03/2006	2395.6	2406.38	2305.77	2383.63	10177000	2308.21
09/03/2006	2401.59	2437.53	2332.12	2362.07	9353300	2287.33
10/03/2006	2323.74	2372.85	2308.16	2369.25	14154600	2294.29
13/03/2006	2394.41	2437.53	2340.51	2378.84	6236300	2303.57
14/03/2006	2365.66	2394.41	2354.88	2394.41	5026500	2318.64
15/03/2006	2406.38	2467.47	2395.6	2451.9	10212000	2374.32
16/03/2006	2485.44	2485.44	2413.57	2474.66	6010500	2396.36
17/03/2006	2473.46	2527.36	2426.75	2437.53	7673500	2360.4
20/03/2006	2515.38	2546.53	2463.88	2471.07	4482700	2392.88
21/03/2006	2477.05	2477.05	2413.57	2455.49	3436900	2377.8
22/03/2006	2438.73	2441.12	2401.59	2414.77	5316700	2338.36
