Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	454	466.75	450.75	466.75	1378500	466.75
04/01/2006	466.75	481	466.75	481	528000	481
05/01/2006	477.25	481.5	472	477.25	310000	477.25
06/01/2006	479.5	480	472.25	477.25	364400	477.25
09/01/2006	479.75	480	473.25	478.25	586800	478.25
10/01/2006	480	480	470	473.25	160000	473.25
11/01/2006	477.75	500.75	477	495	7490800	495
12/01/2006	499.75	508	497.5	503	1999100	503
13/01/2006	508	509.75	500	503	869200	503
16/01/2006	503.75	503.75	497.5	498.5	453100	498.5
17/01/2006	496	497	493.5	494	2720200	494
18/01/2006	487.25	494	484.5	494	661700	494
19/01/2006	495	508	492	506	2595300	506
20/01/2006	508.75	511	502.5	505.75	1199400	505.75
23/01/2006	500.5	512	495.5	508.75	1320800	508.75
24/01/2006	510	510	500.5	500.75	3775200	500.75
25/01/2006	503.25	512.5	502.5	512	4089400	512
26/01/2006	512.5	515	505.25	511.5	1943200	511.5
27/01/2006	515	522.75	512.5	520	858800	520
30/01/2006	515.5	520	502.25	519	11249000	519
31/01/2006	514	520	512	515.5	579400	515.5
01/02/2006	513.25	525	513.25	525	1807800	525
02/02/2006	528	535	526	529	2983500	529
03/02/2006	532.25	534.75	528	532	332600	532
06/02/2006	534.75	535	526	535	396600	535
07/02/2006	535	537	534	535.5	530900	535.5
08/02/2006	530.25	535	529.75	534	629700	534
09/02/2006	533.75	544.25	533.5	544.25	1397000	544.25
10/02/2006	541.25	543.5	537.75	539.75	773800	539.75
13/02/2006	539.25	540.75	534	537	686200	537
14/02/2006	537.75	538	532.5	537.5	333500	537.5
15/02/2006	533	535.25	530	534	310900	534
16/02/2006	533.75	540	533	539.25	2018000	539.25
17/02/2006	539.75	548	537.25	548	464200	548
20/02/2006	542.5	545.25	540.75	540.75	258400	540.75
21/02/2006	544.75	549.5	542.5	548	861300	548
22/02/2006	548.5	550	547.25	548.5	397100	548.5
23/02/2006	549.75	556.75	547.25	555.75	288900	555.75
24/02/2006	556.25	560	552.75	558	325400	558
27/02/2006	554	558.75	554	558	1250600	558
28/02/2006	551.5	565	551.5	565	728300	565
01/03/2006	560.5	597	560.5	578.25	1215100	578.25
02/03/2006	578	580.25	573.75	576	657500	576
03/03/2006	577.75	578	571.25	574.5	665200	574.5
06/03/2006	577.75	579.75	574	578	1347900	578
