Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	713	713	703	708	12499800	572.58
04/01/2006	713	729	713	726	22977900	587.14
05/01/2006	729.5	731	724	725.5	8474200	586.73
06/01/2006	729	733.5	724	733.5	7915900	593.2
09/01/2006	732.5	733	716.5	723.5	8780300	585.12
10/01/2006	725.5	728.5	712	715	11528200	578.24
11/01/2006	715	722.5	708	721	12758300	583.09
12/01/2006	722	735	722	732	15666500	591.99
13/01/2006	732	733	723.5	726.5	6368400	587.54
16/01/2006	730.5	735.5	723	733	4275900	592.8
17/01/2006	730	730	716	719	10009300	581.48
18/01/2006	713.5	716	704.5	714	8047700	577.43
19/01/2006	719.5	725	717	720	11037900	582.28
20/01/2006	718.5	721.5	708.5	710	9823500	574.2
23/01/2006	705.5	708	701	707.5	3930000	572.18
24/01/2006	705	707	698	702	10117600	567.73
25/01/2006	708	709	698.5	706	8369400	570.96
26/01/2006	709.5	721.5	707	719	13524300	581.48
27/01/2006	721.5	733	720.5	733	11020900	592.8
30/01/2006	735	735	724.5	725	6989900	586.33
31/01/2006	725	729.5	719.5	720.5	8952000	582.69
01/02/2006	719.5	732.5	716.5	727	6495700	587.95
02/02/2006	732	732	715.5	718	7171800	580.67
03/02/2006	722.5	726	714	723	7648000	584.71
06/02/2006	727	730	720.5	727.5	9196600	588.35
07/02/2006	727.5	747	726.5	734	17725100	593.61
08/02/2006	731.5	736.5	721	733	11039200	592.8
09/02/2006	734.5	741.5	727	734	10673700	593.61
10/02/2006	734	747	730.5	739	8918800	597.65
13/02/2006	743.5	754	735	751.5	10413800	607.76
14/02/2006	754	767.5	742.5	747	13963000	604.12
15/02/2006	749.5	753.5	718	750	11505200	606.55
16/02/2006	752.5	761.5	750	760	7367300	614.63
17/02/2006	757.5	764.5	754	757.5	6980300	612.61
20/02/2006	755.5	755.5	744	752	5199900	608.16
21/02/2006	756	763.5	753.5	760	6340900	614.63
22/02/2006	760	760	749.5	759	6791500	613.82
23/02/2006	761.5	782	758	771.5	17767100	623.93
24/02/2006	776	785	772	782.5	7858400	632.83
27/02/2006	789	801.5	788	797	10443400	644.56
28/02/2006	797	807.5	787.5	789	16775800	638.09
01/03/2006	786.5	793	785.5	791	11815400	639.7
02/03/2006	820.5	832.5	814.5	820	34216200	663.16
03/03/2006	824	829	799	811	23374300	655.88
06/03/2006	817	840.5	817	830	13609100	671.24
07/03/2006	828	834	813.5	818	19855800	661.54
08/03/2006	805	806.5	786.5	789	11672300	651.99
09/03/2006	796.5	805	786	799.5	12471100	660.66
10/03/2006	799.5	807.5	798	803.5	8423500	663.97
13/03/2006	804	822	801.5	815.5	10446200	673.89
14/03/2006	811.5	819	811	813.5	8608200	672.23
15/03/2006	817.5	828	813.5	824	9588700	680.91
16/03/2006	825.5	829	819	827	13982000	683.39
17/03/2006	827	858	827	850.5	24010500	702.81
20/03/2006	853.5	888.5	835.5	848.5	47761700	701.16
21/03/2006	844	849	827	830	26792400	685.87
22/03/2006	830.5	833	815.5	819.5	18187500	677.19
23/03/2006	822	823	814	822	23983000	679.26
24/03/2006	822.5	842	820	831.5	32463800	687.11
27/03/2006	830	836	825	826	13906800	682.56
28/03/2006	830.5	832	815.5	818.5	22646500	676.36
29/03/2006	814.5	819.5	810	815	8173500	673.47
30/03/2006	816	819.5	806	814	10909200	672.65
31/03/2006	812	812	797.5	799.5	14751300	660.66
03/04/2006	800.5	812	800.5	810	9477700	669.34
04/04/2006	813	817.5	807	814	13872200	672.65
05/04/2006	814	819.5	810	818	8104500	675.95
06/04/2006	818.5	824	810	817	13366800	675.13
07/04/2006	817	819	806.5	807.5	11832700	667.27
10/04/2006	805	812.5	800.5	811.5	6707900	670.58
11/04/2006	809	817	798	801	13220900	661.9
12/04/2006	803	803	796	800	6501300	661.08
13/04/2006	800	806	791	800.5	9536200	661.49
14/04/2006	800.5	800.5	800.5	800.5	0	661.49
17/04/2006	800.5	800.5	800.5	800.5	0	661.49
18/04/2006	803.5	807.5	797	798	6400700	659.42
19/04/2006	804	808	802	806	8965800	666.04
20/04/2006	805.5	806.5	802.5	804	11693300	664.38
21/04/2006	806.5	807	803	804.5	13998300	664.8
24/04/2006	804	805	800.5	801.5	11051700	662.32
25/04/2006	805.5	808	802	803	13790000	663.56
26/04/2006	805	817	803	812.5	11788200	671.41
27/04/2006	822.5	825	796	801.5	14916800	662.32
28/04/2006	802	807.5	795	801	12800100	661.9
01/05/2006	801	801	801	801	0	661.9
02/05/2006	802.5	822	802.5	817	14406700	675.13
03/05/2006	817	821	801	803	12575300	663.56
04/05/2006	805.5	808	791	795	14835500	656.95
05/05/2006	793.5	806	791	804.5	10120400	664.8
08/05/2006	808.5	814	805	810	7463300	669.34
09/05/2006	808	814	801	804.5	11707600	664.8
10/05/2006	806	806	796	802	8833400	662.73
11/05/2006	800.5	809.5	793	795.5	6849300	657.36
12/05/2006	791.5	795	770.5	771.5	9869700	637.53
