Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	2850	2873	2839	2870	7339500	2729.29
04/01/2006	2886	2902	2865	2900	4665900	2757.82
05/01/2006	2915	2915	2886	2896	3265100	2754.01
06/01/2006	2906	2908	2883	2900	3855400	2757.82
09/01/2006	2915	2915	2870	2878	11113100	2736.89
10/01/2006	2889	2890	2833	2835	10543700	2696
11/01/2006	2842	2864	2836	2864	11303300	2723.58
12/01/2006	2873	2874	2846	2855	7779000	2715.02
13/01/2006	2863	2863	2794	2815	8644800	2676.98
16/01/2006	2804	2832	2804	2822	3604300	2683.64
17/01/2006	2818	2818	2787	2800	5044800	2662.72
18/01/2006	2723	2735	2675	2679	19213800	2547.65
19/01/2006	2671	2705	2664	2667	9743400	2536.24
20/01/2006	2679	2714	2661	2672	7356400	2540.99
23/01/2006	2679	2679	2635	2646	6399700	2516.27
24/01/2006	2642	2653	2603	2609	8880500	2481.08
25/01/2006	2619	2673	2613	2673	8236700	2541.95
26/01/2006	2678	2695	2658	2677	5827600	2545.75
27/01/2006	2686	2722	2686	2721	6262800	2587.59
30/01/2006	2707	2742	2694	2704	7749400	2571.43
31/01/2006	2710	2729	2695	2722	4920200	2588.54
01/02/2006	2723	2761	2723	2734	8003300	2599.95
02/02/2006	2751	2752	2625	2638	25014000	2508.66
03/02/2006	2649	2665	2639	2655	12660500	2524.83
06/02/2006	2655	2678	2628	2658	5013000	2527.68
07/02/2006	2665	2696	2650	2685	9287900	2553.36
08/02/2006	2615	2696	2615	2640	12807300	2599.64
09/02/2006	2643	2683	2624	2682	7012500	2641
10/02/2006	2680	2680	2624	2639	9227700	2598.65
13/02/2006	2651	2651	2616	2622	8652200	2581.91
14/02/2006	2634	2641	2500	2616	14297600	2576.01
15/02/2006	2625	2630	2602	2602	6483600	2562.22
16/02/2006	2603	2614	2587	2600	7136600	2560.25
17/02/2006	2606	2613	2581	2584	5751100	2544.49
20/02/2006	2590	2594	2568	2574	4313500	2534.65
21/02/2006	2582	2645	2575	2607	10583100	2567.14
22/02/2006	2597	2656	2594	2645	7648900	2604.56
23/02/2006	2653	2665	2614	2635	5768700	2594.71
24/02/2006	2625	2646	2612	2639	4520400	2598.65
27/02/2006	2634	2675	2634	2670	5684200	2629.18
28/02/2006	2670	2685	2627	2635	11035200	2594.71
01/03/2006	2626	2655	2621	2648	7285300	2607.52
02/03/2006	2630	2660	2616	2635	7719800	2594.71
03/03/2006	2635	2654	2616	2639	4868200	2598.65
06/03/2006	2650	2670	2644	2659	8685000	2618.35
07/03/2006	2660	2662	2633	2645	11995000	2604.56
08/03/2006	2650	2733	2647	2714	25914000	2672.51
09/03/2006	2746	2841	2730	2832	20322600	2788.7
