Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	384.5	387.25	380.25	386.5	27117000	386.5
04/01/2006	387	397	385.25	395.75	37518000	395.75
05/01/2006	397.75	399	391.75	393.5	27953900	393.5
06/01/2006	398	411.25	398	408.5	48924700	408.5
09/01/2006	409	411.75	404.5	405	38416800	405
10/01/2006	402.5	405.25	396	401.25	37777400	401.25
11/01/2006	401.25	407	400.75	406.75	24986300	406.75
12/01/2006	406	407.5	402	406.5	18947600	406.5
13/01/2006	406	412	402.75	410.25	18056200	410.25
16/01/2006	410	418.5	409.25	418.25	30954000	418.25
17/01/2006	417.5	419.5	415	417	29894100	417
18/01/2006	415	418.75	410.25	416.5	31836600	416.5
19/01/2006	419.25	424.5	417.75	419.5	25690300	419.5
20/01/2006	417.75	422.25	417.75	421	15894100	421
23/01/2006	416.75	422.75	414.25	421.5	16959200	421.5
24/01/2006	420.75	423	418	418.75	19656200	418.75
25/01/2006	419.25	424	415.75	418	28051400	418
26/01/2006	419	420.75	412.5	413.25	43595300	413.25
27/01/2006	415.5	427	414.5	426	28399900	426
30/01/2006	423	424.5	416.5	416.75	18765000	416.75
31/01/2006	417.75	421	415.5	417	15980800	417
01/02/2006	414	439.25	414	432.5	37346600	432.5
02/02/2006	432.75	438	423.5	426	29340700	426
03/02/2006	429	430.75	425.25	426.75	16301800	426.75
06/02/2006	430	432	425.75	426.25	13034300	426.25
07/02/2006	427	433	427	432	27392200	432
08/02/2006	430	437.75	429.75	434	23618200	434
09/02/2006	434	436	432.75	434.75	20474100	434.75
10/02/2006	435.25	437.5	434.25	435.5	21475700	435.5
13/02/2006	435.75	438	434	436	24876700	436
14/02/2006	439	439	435	436.5	27352200	436.5
15/02/2006	437.75	441	432.25	438	13275800	438
16/02/2006	441.25	449.75	441.25	449.75	21539000	449.75
17/02/2006	449.5	451	445	445.75	27078200	445.75
20/02/2006	447	447	441.75	444	15372500	444
21/02/2006	443.25	445.5	438.5	440	14123600	440
22/02/2006	437	448	435.25	447.25	18267500	447.25
23/02/2006	443	443.75	417.75	421	92323300	421
24/02/2006	425.5	430.75	425	428.5	58544400	428.5
27/02/2006	430.75	435.75	427.5	434.75	20175000	434.75
28/02/2006	433	434.25	419.25	420	36864800	420
01/03/2006	420	426.5	420	421.5	24501900	421.5
02/03/2006	424	425.25	420.25	421	25387000	421
03/03/2006	418.75	424.5	418.75	423.5	27399700	423.5
06/03/2006	425	428.5	422.75	424.75	29130900	424.75
07/03/2006	423	427.5	423	426.25	17387600	426.25
08/03/2006	426.25	430.75	411.5	416.25	31012300	416.25
09/03/2006	420.25	425	420	421.75	18106900	421.75
10/03/2006	419.25	422	413.5	419.75	13960000	419.75
