Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	616.5	621	611.5	617.5	38074500	617.5
04/01/2006	623	628	618.5	627	37326700	627
05/01/2006	627	627.5	621	621.5	38168700	621.5
06/01/2006	623	627.5	622	627.5	32567700	627.5
09/01/2006	630	630	617.5	628	55198300	628
10/01/2006	626	626	617.5	619	35432000	619
11/01/2006	624.5	628.5	620	626.5	21458700	626.5
12/01/2006	626.5	633	624.5	628.5	26583000	628.5
13/01/2006	627.5	629.5	619	621	23793700	621
16/01/2006	621	621.5	615	620.5	16519200	620.5
17/01/2006	619	619	607	609	48098400	609
18/01/2006	602.5	603.5	598	601.5	53202000	601.5
19/01/2006	605	611	602	605	42019400	605
20/01/2006	604.5	609	596.5	597.5	30429400	597.5
23/01/2006	593	596.5	588.5	596	30609100	596
24/01/2006	597	598.5	582.5	587.5	60845200	587.5
25/01/2006	592	596.5	584.5	587.5	54245800	587.5
26/01/2006	590	604.5	588	601	52777700	601
27/01/2006	608	615	604.5	612.5	42786500	612.5
30/01/2006	612.5	612.5	599.5	601	27824700	601
31/01/2006	600.5	604.5	595	601	42592100	601
01/02/2006	601	628	597.5	614.5	63828000	614.5
02/02/2006	618.5	620	610	611	58021900	611
03/02/2006	614	615.5	608	614	40708200	614
06/02/2006	617	625.5	616.5	619	45383100	619
07/02/2006	619.5	628.5	619	620.5	27084300	620.5
08/02/2006	618.5	628.5	617	621	30116400	621
09/02/2006	624.5	638.5	621.5	637.5	35214900	637.5
10/02/2006	634	645.5	634	642	48697600	642
13/02/2006	646	655.5	646	651.5	47044600	651.5
14/02/2006	654	662	653.5	656.5	52321400	656.5
15/02/2006	656.5	659.5	644.5	649.5	62516700	649.5
16/02/2006	653.5	655	649	654.5	17048900	654.5
17/02/2006	655	658.5	649	653	27252400	653
20/02/2006	654.5	654.5	642.5	644	25925300	644
21/02/2006	645	647	637	645.5	52571200	645.5
22/02/2006	644	669	643	664	49514600	664
23/02/2006	664.5	677.5	664.5	666.5	40352200	666.5
24/02/2006	668	676.5	666.5	670.5	67702700	670.5
27/02/2006	677	678.5	671	673.5	33459400	673.5
28/02/2006	673.5	675.5	665.5	668.5	56948400	668.5
01/03/2006	654.5	661	651.5	658	36420900	658
02/03/2006	658	662	649	653	36260500	653
03/03/2006	653	657.5	645	654	30861300	654
06/03/2006	658.5	662	651.5	654	26770800	654
07/03/2006	653	655	644.5	651.5	22398500	651.5
08/03/2006	654	654	642.5	646.5	44239700	646.5
09/03/2006	650	651.5	643.5	647	27341800	647
10/03/2006	646	661.5	644.5	660.5	41059700	660.5
13/03/2006	664	670	657.5	668	36952200	668
14/03/2006	666.5	682	663	670.5	39035200	670.5
15/03/2006	674.5	675	664.5	665.5	46923900	665.5
16/03/2006	669	672.5	663	671	28601800	671
17/03/2006	671	684	668.5	675	63091800	675
20/03/2006	682.5	687.5	676.5	677	25687700	677
21/03/2006	677	679	670	675	14069500	675
22/03/2006	671.5	683.5	669	680	56654500	680
23/03/2006	683.5	687	675.5	683.5	186945400	683.5
24/03/2006	683.5	685	680.5	684	15758500	684
27/03/2006	683.5	686	670	672	23745900	672
28/03/2006	674.5	679.5	666	667.5	29848400	667.5
29/03/2006	669	674.5	664	668	21750800	668
30/03/2006	675	683	670	679	22869000	679
31/03/2006	677.5	681	672	673.5	23609300	673.5
03/04/2006	681	682	667	671.5	17897300	671.5
04/04/2006	671.5	673	665.5	671	33071500	671
05/04/2006	672.5	679.5	668.5	678	64194600	678
06/04/2006	679.5	688.5	679.5	686	121324500	686
07/04/2006	686	701	686	701	73745900	701
10/04/2006	697.5	699	687.5	696.5	42659900	696.5
11/04/2006	698.5	698.5	679	682	22290900	682
12/04/2006	680.5	685.5	671	683	19601400	683
13/04/2006	683	686	676.5	683	15088600	683
14/04/2006	683	683	683	683	0	683
17/04/2006	683	683	683	683	0	683
18/04/2006	679.5	683	670.5	672	25963600	672
19/04/2006	677	679.5	672.5	676.5	23863800	676.5
20/04/2006	681	687.5	676	677	25194200	677
21/04/2006	679	684	676.5	681.5	48021800	681.5
24/04/2006	676	681	672.5	676	15094000	676
25/04/2006	675.5	684	675.5	680.5	13893400	680.5
26/04/2006	685	688.5	681	684	60872700	684
27/04/2006	684	688.5	677	682	19257700	682
28/04/2006	682	691	678.5	685	26717600	685
01/05/2006	685	685	685	685	0	685
02/05/2006	682.5	694	682	690.5	64239300	690.5
03/05/2006	689.5	692.5	675	677	22517700	677
04/05/2006	679.5	682	671	673	24749000	673
05/05/2006	680.5	683	675	680.5	38731500	680.5
08/05/2006	684	687.5	676	678.5	34518200	678.5
09/05/2006	679.5	680.5	669.5	674	48836600	674
10/05/2006	675.5	675.5	667.5	668	28464000	668
11/05/2006	666.5	670	655	656.5	44780200	656.5
12/05/2006	655.5	655.5	638.5	640.5	40251400	640.5
15/05/2006	639.5	643.39	618.17	636.5	38530700	636.5
