Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	1297	1317	1297	1311	9815700	502.2
04/01/2006	1318	1323	1287	1290	8312400	494.16
05/01/2006	1287	1293	1271	1279	8641000	489.94
06/01/2006	1281	1288	1273	1279	6823900	489.94
09/01/2006	1285	1285	1270	1275	5281700	488.41
10/01/2006	1278	1285	1273	1278	3996800	489.56
11/01/2006	1275	1276	1259	1269	10900300	486.11
12/01/2006	1271	1276	1233	1242	14568600	475.77
13/01/2006	1247	1266	1241	1257	5926000	481.51
16/01/2006	1257	1262	1244	1251	5953700	479.22
17/01/2006	1249	1251	1238	1242	3249300	475.77
18/01/2006	1237	1262	1229	1247	4368000	477.68
19/01/2006	1253	1279	1253	1270	4663000	486.49
20/01/2006	1267	1280	1263	1268	3644300	485.73
23/01/2006	1260	1272	1255	1261	3148100	483.05
24/01/2006	1259	1263	1251	1257	4049600	481.51
25/01/2006	1267	1284	1258	1274	5432300	488.03
26/01/2006	1275	1298	1258	1260	6115800	482.66
27/01/2006	1263	1268	1238	1254	9000600	480.36
30/01/2006	1250	1258	1247	1252	6319900	479.6
31/01/2006	1255	1280	1249	1267	10831800	485.34
01/02/2006	1266	1279	1265	1275	8818700	488.41
02/02/2006	1275	1288	1269	1282	6308000	491.09
03/02/2006	1277	1285	1266	1284	8718500	491.86
06/02/2006	1284	1298	1282	1294	10873400	495.69
07/02/2006	1301	1308	1272	1280	13195600	490.32
08/02/2006	1279	1289	1270	1283	13691100	491.47
09/02/2006	1284	1318	1277	1317	12648200	504.5
10/02/2006	1313	1327	1286	1294	11570700	495.69
13/02/2006	1294	1312	1292	1308	4793200	501.05
14/02/2006	1313	1316	1293	1300	5425000	497.99
15/02/2006	1307	1315	1295	1310	4277800	501.82
16/02/2006	1315	1320	1300	1310	7489300	501.82
17/02/2006	1310	1316	1304	1311	8106000	502.2
20/02/2006	1300	1319	1300	1318	2434200	504.88
21/02/2006	1319	1330	1314	1325	5117200	507.56
22/02/2006	1330	1333	1318	1330	4987200	509.48
23/02/2006	1336	1336	1316	1328	6264900	508.71
24/02/2006	1338	1338	1321	1327	3926600	508.33
27/02/2006	1330	1337	1325	1328	4026800	508.71
28/02/2006	1355	1381	1355	1359	10645200	520.59
01/03/2006	1359	1387	1356	1382	10511400	529.4
02/03/2006	1390	1403	1387	1397	11077400	535.14
03/03/2006	1394	1413	1394	1408	5353600	539.36
06/03/2006	1411	1450	1411	1443	7344400	552.76
07/03/2006	1435	1448	1425	1442	7744700	552.38
08/03/2006	1425	1435	1412	1422	8745900	544.72
09/03/2006	1428	1452	1425	1439	10317800	551.23
10/03/2006	1441	1447	1430	1435	6789700	549.7
13/03/2006	1441	1444	1427	1441	9194200	552
14/03/2006	1444	1444	1415	1426	6977400	546.25
