Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	578	597.5	576	594.5	19514800	594.5
04/01/2006	602	604.5	591.5	603.5	16434100	603.5
05/01/2006	606	606	595	596.5	16016800	596.5
06/01/2006	599.5	602.5	597	600	12941000	600
09/01/2006	599	612	598.5	599.5	15304800	599.5
10/01/2006	598	603	592	597	13622300	597
11/01/2006	597	604.5	589	598.5	15058400	598.5
12/01/2006	600	606.5	596	605	13278400	605
13/01/2006	604.5	612.5	598.5	611.5	9510300	611.5
16/01/2006	613	618	607	617	6294900	617
17/01/2006	610	614	605.5	609.5	14024200	609.5
18/01/2006	607.5	611.5	595.5	597.5	18720100	597.5
19/01/2006	599	605.5	592	603.5	7884300	603.5
20/01/2006	603	617	603	608.5	9178700	608.5
23/01/2006	605	614	604.5	612	7503800	612
24/01/2006	613	631	612.5	622	16073100	622
25/01/2006	627.5	650	623.5	633.5	31147900	633.5
26/01/2006	626	645	624.5	636	13578400	636
27/01/2006	642.5	649.5	635.5	640.5	12434900	640.5
30/01/2006	643	650	640	641.5	12307700	641.5
31/01/2006	643	644.5	632	635	16105500	635
01/02/2006	632.5	642	623.5	636.5	11016400	636.5
02/02/2006	636	659	626	647	24372000	647
03/02/2006	650	660	642	645	16223700	645
06/02/2006	648.5	648.5	635.5	637	17837000	637
07/02/2006	639.5	639.5	622	625.5	23224900	625.5
08/02/2006	619	625	613.5	617.5	19324900	617.5
09/02/2006	652.5	695	652	675	88454200	675
10/02/2006	680	680	663	667.5	20101300	667.5
13/02/2006	674.5	679.5	671	677	21353300	677
14/02/2006	681	688	654	658.5	22251700	658.5
15/02/2006	663	673	655	665	12658800	665
16/02/2006	664.5	673	658.5	667	12362400	667
17/02/2006	668	678	668	676	9068800	676
20/02/2006	682.5	690	676.5	686.5	6095600	686.5
21/02/2006	691.5	699	689.5	691.5	8468100	691.5
22/02/2006	690	695.5	684	691.5	10459200	691.5
23/02/2006	696	696	682	686	7848600	686
24/02/2006	696	696	676	678.5	9113900	678.5
27/02/2006	658	709	658	678	5974900	678
28/02/2006	673.5	679.5	666.5	667.5	9442400	667.5
01/03/2006	667.5	683	667.5	678	8033800	678
02/03/2006	678.5	691.5	678.5	686	13743100	686
03/03/2006	686	707.5	680.5	686	15230100	686
06/03/2006	691	703	687.5	692.5	10574200	692.5
07/03/2006	686	688.5	673.5	679	9900200	679
08/03/2006	678.5	678.5	668	675	18818800	675
09/03/2006	691.5	693	674.5	678	12444900	678
10/03/2006	680.5	689.5	677	679	13343500	679
13/03/2006	685.5	692	676.5	690	12021000	690
14/03/2006	690.5	700	690.5	695.5	7672600	695.5
15/03/2006	695	704.5	693	698.5	12760000	698.5
16/03/2006	694.5	696	685.5	691	14640400	691
17/03/2006	691.5	704	691.5	700.5	20267000	700.5
20/03/2006	704.5	726.5	694	709	26776000	709
21/03/2006	704.5	722.5	698	716.5	17269800	716.5
22/03/2006	716	729.5	708	712.5	14363400	712.5
23/03/2006	718	724.5	705	707.5	15725800	707.5
24/03/2006	706	722	698	721	14321200	721
27/03/2006	725	736.5	709	709	10310500	709
28/03/2006	700	715.5	700	703.5	20060700	703.5
29/03/2006	701	744.5	701	734	29457700	734
30/03/2006	738	743	717.5	724.5	25896500	724.5
31/03/2006	726.5	733.5	717	719.5	12216700	719.5
