Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	34.2	35.04	34.2	35	1698100	31.97
04/01/2006	35.11	35.99	35.02	35.79	1681800	32.69
05/01/2006	35.35	35.35	34.93	35.06	1085400	32.02
06/01/2006	35.44	36.06	35.43	35.75	1318100	32.65
09/01/2006	36.3	36.47	36.07	36.33	1212300	33.18
10/01/2006	35	36.13	34.94	35.81	4434300	32.71
11/01/2006	36.04	36.4	35.81	36.26	1493700	33.12
12/01/2006	36.19	36.2	35.5	35.59	2173800	32.5
13/01/2006	35.69	35.95	35.45	35.84	1155700	32.73
17/01/2006	35.98	36.9	35.9	36.58	3433900	33.41
18/01/2006	36.4	36.42	35.75	35.9	2755000	32.79
19/01/2006	37.13	37.46	37.02	37.22	2557900	33.99
20/01/2006	37.34	37.51	36.56	36.58	2219400	33.41
23/01/2006	37.4	37.45	36.93	37.2	2135300	33.97
24/01/2006	37.03	37.39	36.76	37.35	2149900	34.11
25/01/2006	38.05	38.87	38.05	38.78	3074000	35.42
26/01/2006	38.37	39.29	38.37	38.8	3246400	35.44
27/01/2006	39.2	39.5	38.91	39.47	1916800	36.05
30/01/2006	39.46	39.73	39.2	39.62	1577700	36.19
31/01/2006	39	39.7	38.66	39.45	2588000	36.03
01/02/2006	39.75	39.75	39.11	39.2	1689900	35.8
02/02/2006	38.7	39.11	37.52	38.4	2938900	35.07
03/02/2006	37.7	38.27	37.61	38.15	2298000	34.84
06/02/2006	38.15	38.8	38.01	38.78	2123100	35.42
07/02/2006	38.08	38.08	36.9	37	3190900	33.79
08/02/2006	36.23	36.55	35.74	36.39	3611900	33.24
09/02/2006	36.88	37.41	36.75	36.86	4434000	33.66
10/02/2006	36.7	36.74	35.31	35.86	2986000	32.75
13/02/2006	35.24	35.24	34.75	35.06	2283900	32.02
14/02/2006	35.06	36.62	35.03	36.16	2720000	33.03
15/02/2006	36.18	36.59	35.7	35.89	2621100	32.78
16/02/2006	35.6	36.54	35.37	36.17	3986000	33.03
17/02/2006	36.54	36.78	36.25	36.3	2832200	33.15
21/02/2006	37.35	37.5	37	37.1	2103000	33.88
22/02/2006	37.2	37.47	37.16	37.21	3005600	33.98
23/02/2006	37.2	37.24	36.58	36.6	2664700	33.43
24/02/2006	36.6	36.87	36.41	36.65	2613900	33.47
27/02/2006	36.78	36.8	36.35	36.36	2168400	33.21
28/02/2006	36.31	36.31	35.91	36.09	3231300	32.96
01/03/2006	36.15	36.39	36.03	36.3	2074200	33.48
02/03/2006	35.94	37	35.94	36.66	1920500	33.81
03/03/2006	36.28	36.77	36.2	36.41	1515000	33.58
06/03/2006	36.46	36.49	35.51	35.65	2294600	32.88
07/03/2006	34.8	34.9	34.3	34.62	2429900	31.93
08/03/2006	33.5	34.52	33.45	34.22	3290100	31.56
09/03/2006	34.47	34.93	34.21	34.35	3139700	31.68
10/03/2006	34.27	34.9	34	34.84	1443100	32.13
13/03/2006	34.8	35.08	34.54	34.91	1846800	32.2
14/03/2006	34.9	35.59	34.8	35.46	2455400	32.7
15/03/2006	36.42	36.59	36.28	36.37	3282900	33.54
16/03/2006	36.55	36.71	36.25	36.48	2218600	33.64
17/03/2006	36.54	36.79	36.03	36.39	2072400	33.56
20/03/2006	36.64	36.8	36.29	36.32	1442900	33.5
21/03/2006	36.2	36.4	35.55	35.63	1741900	32.86
22/03/2006	36.15	36.6	36.1	36.42	1300600	33.59
23/03/2006	36.9	37.2	36.71	36.98	1944500	34.1
24/03/2006	37.35	37.75	37.12	37.42	2251200	34.51
27/03/2006	37.77	37.99	37.62	37.89	1662500	34.94
28/03/2006	37.67	38.04	37.31	37.45	1676600	34.54
29/03/2006	37.75	38.75	37.7	38.58	1824500	35.58
30/03/2006	39.35	40.35	39.35	40.22	3476100	37.09
31/03/2006	39.62	40.19	39.22	39.85	3045900	36.75
03/04/2006	41.52	42.22	41.31	41.73	3558200	38.49
04/04/2006	42.17	42.47	41.9	42.02	2565200	38.75
05/04/2006	43	43.7	42.73	43.5	2799000	40.12
06/04/2006	43.48	44	42.9	43.5	2602800	40.12
07/04/2006	42.91	43.07	42.03	42.45	2594600	39.15
10/04/2006	43	43.44	42.71	42.97	2167500	39.63
11/04/2006	44.12	44.3	43.22	43.55	3082500	40.16
12/04/2006	42.77	43.82	42.77	43.65	3082600	40.26
13/04/2006	42.6	43.34	42.45	43.16	2552300	39.8
17/04/2006	43.97	44.66	43.84	44.53	1834700	41.07
18/04/2006	45.03	46.35	45.02	46.35	3904600	42.75
19/04/2006	46.23	47.19	45.92	47.11	2263800	43.45
20/04/2006	46.25	46.37	44.26	44.66	3616400	41.19
21/04/2006	45.31	46.2	45.13	45.9	2666900	42.33
24/04/2006	46.14	46.19	45.42	45.77	1744700	42.21
25/04/2006	46.05	46.28	45.25	45.7	1961400	42.15
26/04/2006	45.78	46.19	45.59	45.92	3787400	42.35
27/04/2006	44.29	45.13	43.75	44.36	4087300	40.91
28/04/2006	44.45	45.67	44.45	45.56	2401900	42.02
01/05/2006	46.7	47.1	46.45	46.55	1780700	42.93
02/05/2006	46.84	47.2	46.39	47.18	2327900	43.51
03/05/2006	47.04	47.07	46.3	46.96	2304500	43.31
04/05/2006	46.97	47.37	46.55	46.76	3377900	43.12
05/05/2006	47.6	48.27	47.48	47.87	2958700	44.15
08/05/2006	48.68	48.68	47.4	47.61	2757000	43.91
09/05/2006	47.6	49.24	47.6	49.21	2894100	45.38
10/05/2006	48.96	49.41	48.67	49.18	2766300	45.36
11/05/2006	50.25	50.74	48.52	48.57	3921200	44.79
12/05/2006	48.81	49.1	47.26	47.79	3572200	44.07
15/05/2006	44.8	45.85	44.3	44.8	6824600	41.32
16/05/2006	45.7	46.1	44.45	45.51	3946300	41.97
17/05/2006	44.75	45.38	43.65	43.95	6743300	40.53
18/05/2006	43.65	44.05	43	43.17	4547700	39.81
19/05/2006	43	43.52	41.4	43.24	6777900	39.88
22/05/2006	41.07	41.58	39.77	41.35	6449300	38.13
23/05/2006	43	43.69	42.75	42.92	5229300	39.58
24/05/2006	41.6	42.7	40.96	41.69	5099000	38.45
25/05/2006	42.25	43.24	41.94	43.09	2553100	39.74
26/05/2006	44.2	44.25	43.54	44.07	2193100	40.64
30/05/2006	44.23	44.25	43.04	43.38	2763300	40.01
31/05/2006	43.15	43.72	42.8	43.28	2533400	39.91
01/06/2006	41.85	42.6	41.43	42.57	3946900	39.26
02/06/2006	43	43.06	42.23	42.85	3004500	39.52
05/06/2006	43.05	43.1	41.57	41.68	3101000	38.44
06/06/2006	40.75	41.15	40.21	41.03	3394700	37.84
07/06/2006	40.49	41.49	40.21	40.39	4447700	37.25
08/06/2006	39.58	39.59	37.5	39.43	8389700	36.36
09/06/2006	39.25	39.93	38.91	39.4	4289700	36.34
12/06/2006	39.8	39.98	38.43	38.48	3057900	35.49
13/06/2006	36.75	37.72	35.8	36.38	6027100	33.55
14/06/2006	37.36	38.43	36.86	37.83	4477600	34.89
15/06/2006	38.87	40.83	38.87	40.42	5106500	37.28
16/06/2006	40	40.2	39.21	39.91	2989700	36.81
19/06/2006	39.95	40	38.29	38.61	2534300	35.61
20/06/2006	39.47	40.19	39.24	39.34	2652600	36.28
21/06/2006	40	41.25	39.86	40.89	1897200	37.71
22/06/2006	41.1	41.11	40.1	40.82	2080700	37.65
23/06/2006	39.58	41.07	39.5	40.51	2447000	37.36
26/06/2006	41.14	41.21	40.45	40.53	2497600	37.38
27/06/2006	40.95	41.07	39.87	40.01	3171900	36.9
28/06/2006	40.16	40.35	39.94	40.06	2511800	36.95
29/06/2006	40.92	42.53	40.77	42.34	3751400	39.05
30/06/2006	43.49	43.79	42.77	43.07	3676500	39.72
03/07/2006	43.43	44	43.37	43.91	1718200	40.5
05/07/2006	42.55	42.69	41.66	42.36	3414300	39.07
06/07/2006	42.37	43.08	42.29	42.77	2524600	39.44
07/07/2006	43.41	43.71	42.79	42.96	2728200	39.62
10/07/2006	43.2	43.5	42.82	43.07	2062600	39.72
11/07/2006	43.71	44.15	43.33	44.09	2614600	40.66
12/07/2006	44.3	44.67	43.83	44.15	2240300	40.72
13/07/2006	43.45	43.57	42.76	43	2799900	39.66
14/07/2006	42.55	42.85	41.56	42.2	2713800	38.92
17/07/2006	41.55	41.89	41.05	41.19	3121400	37.99
18/07/2006	41.3	41.66	40.23	41.02	3018300	37.83
19/07/2006	41.07	42.76	41.07	42.44	4228500	39.14
20/07/2006	42.7	42.83	41.75	41.91	3854500	38.65
21/07/2006	42.15	42.16	41.19	41.56	3712900	38.33
24/07/2006	41.45	42.45	41.17	42.32	3019900	39.03
25/07/2006	42.26	42.83	41.59	42.63	2167900	39.32
26/07/2006	42	42.49	41.6	42.36	2362000	39.07
27/07/2006	43.04	43.43	42.22	42.48	2140600	39.18
28/07/2006	42.58	42.98	42.24	42.91	2420500	39.57
31/07/2006	42.07	42.45	41.97	42.2	2349800	38.92
01/08/2006	41.82	41.88	41.04	41.65	2954600	38.41
02/08/2006	42	42.75	42	42.35	2140400	39.06
03/08/2006	42.05	42.71	42	42.34	2091200	39.05
04/08/2006	43.31	43.45	42.48	42.63	2943500	39.32
07/08/2006	42.2	42.71	42.14	42.43	2033100	39.13
08/08/2006	42	42.39	41.51	41.66	1668800	38.42
09/08/2006	41.5	41.98	41.34	41.48	2723800	38.25
10/08/2006	41.06	41.41	40.9	41.28	2395700	38.07
11/08/2006	41.14	41.52	40.92	41.07	2655900	37.88
14/08/2006	41.55	41.69	41.21	41.24	1215800	38.03
15/08/2006	41.5	42.04	41.3	41.82	1935000	38.57
16/08/2006	42.64	43.35	42.59	42.96	3460000	39.62
17/08/2006	43.77	43.8	42.36	42.56	3502500	39.25
18/08/2006	42.81	43.04	42.37	42.81	1902500	39.48
21/08/2006	43.43	43.95	43.34	43.72	1708400	40.32
22/08/2006	43.4	43.8	43.25	43.46	2272700	40.08
23/08/2006	43.01	43.35	42.18	42.52	2758500	39.21
24/08/2006	42.21	42.29	40.86	41.34	3051600	38.13
25/08/2006	41.48	41.77	41.2	41.65	1632200	38.41
28/08/2006	41.6	42.09	41.5	41.76	1311000	38.51
29/08/2006	42.19	42.3	41.49	42.2	2106400	38.92
30/08/2006	42.4	42.48	41.51	42.01	2314600	38.74
31/08/2006	42.2	42.2	41.6	42.1	2132300	38.83
01/09/2006	42.13	42.7	41.85	42.67	2315500	39.35
05/09/2006	43.35	43.82	43.18	43.62	2120800	40.23
06/09/2006	42.3	42.32	41.82	41.92	2188500	38.99
07/09/2006	41.26	41.4	40.71	41.19	2836900	38.31
08/09/2006	40.37	40.4	39.95	40.27	3249600	37.46
11/09/2006	38.55	38.63	37.68	37.83	5267800	35.19
12/09/2006	38.26	38.41	37.16	37.34	5190300	34.73
13/09/2006	37.97	38.4	37.83	38.26	2467300	35.59
14/09/2006	38.7	38.8	37.71	37.89	2812200	35.24
15/09/2006	37.79	37.83	37.26	37.54	2168600	34.92
18/09/2006	37.88	38.85	37.78	38.4	2383000	35.72
19/09/2006	37.8	37.92	36.65	37.08	2885600	34.49
20/09/2006	37.4	37.48	36.52	36.79	4620400	34.22
21/09/2006	37.57	37.7	36.92	37.39	4077000	34.78
22/09/2006	37.62	37.62	36.5	36.72	2491900	34.15
25/09/2006	35.74	36.19	34.74	36.19	6166900	33.66
26/09/2006	36.29	37.39	36.17	37.36	3552200	34.75
27/09/2006	37.99	38.5	37.85	38.44	5106200	35.75
28/09/2006	38.3	38.6	38.19	38.3	2603900	35.62
