Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	624.5	638	623	637	140278200	563.14
04/01/2006	635	641	633	634	85632800	560.49
05/01/2006	636	643	632	634.5	107974500	560.93
06/01/2006	633	644.5	633	642.5	93467600	568
09/01/2006	644	652.5	642.5	643	83282300	568.44
10/01/2006	643	648	642	643.5	66882300	568.88
11/01/2006	640.5	644.5	635	640.5	81947200	566.23
12/01/2006	645	654.5	644	652.5	68370100	576.84
13/01/2006	645.5	655.5	645	654.5	82197900	578.61
16/01/2006	655	666.5	655	666	69645900	588.77
17/01/2006	664.5	671	660.5	662	124637000	585.24
18/01/2006	661	664.5	657.5	659	82701700	582.59
19/01/2006	662.5	665	654	663	79536700	586.12
20/01/2006	667.5	677	661.5	661.5	93131800	584.8
23/01/2006	660	664.5	654	660.5	53333300	583.91
24/01/2006	662.5	668	658	661.5	82921000	584.8
25/01/2006	661	666	658	660.5	75579300	583.91
26/01/2006	652	661.5	650	654.5	86718000	578.61
27/01/2006	660	669	658	665.5	60914100	588.33
30/01/2006	668.5	685	667.5	682	111013000	602.92
31/01/2006	683	693	676	679.48	135646800	600.69
01/02/2006	677	677.5	670.5	675.5	80350700	597.17
02/02/2006	668	671.5	654.5	655	121201300	579.05
03/02/2006	654.5	661	650	658.5	122772500	582.14
06/02/2006	658.5	671.5	658	665.5	65319200	588.33
07/02/2006	652	657.5	641.5	647.5	204645700	572.42
08/02/2006	637	651	633	641	123389200	566.67
09/02/2006	644	652	644	648	92194900	572.86
10/02/2006	644	648	639.5	640	131211200	565.79
13/02/2006	645	647.5	641.5	646.5	43574500	571.54
14/02/2006	647	651.5	640	643	69839600	568.44
15/02/2006	642	653	638	646.5	77870700	571.54
16/02/2006	646	655	644	653.5	71086400	577.72
17/02/2006	655.5	662.5	652	655.5	71334900	579.49
20/02/2006	660.5	671	660	668	47285000	590.54
21/02/2006	671.5	671.5	663	663	63932200	586.12
22/02/2006	659	659	648	651	78235300	583.77
23/02/2006	651	651	641	644	88719500	577.49
24/02/2006	646.5	652	642.5	647.5	56890600	580.63
27/02/2006	646.5	653	643	644.5	55481900	577.94
28/02/2006	641.5	643.5	630	630	118842100	564.94
01/03/2006	633.5	641	632	637.5	73939100	571.66
02/03/2006	641.5	645	631.5	635	106554000	569.42
03/03/2006	638.5	648.5	636	637.5	72507100	571.66
06/03/2006	640.5	644	633.5	637	76797400	571.21
07/03/2006	631	634.5	628.5	633.5	70727500	568.08
08/03/2006	635	637.5	627	634	68184500	568.52
09/03/2006	639	640.5	633	636.5	63609700	570.77
10/03/2006	633.5	640.5	633	639.5	84327400	573.46
13/03/2006	642	651	641	649.5	101546900	582.42
14/03/2006	653	656	648.5	651	91198300	583.77
15/03/2006	656	670.5	655	665	180395600	596.32
16/03/2006	666.5	669	656.5	659	107765500	590.94
17/03/2006	666.5	670	660.5	661.5	110961700	593.18
20/03/2006	660	665	657	657.5	80401100	589.6
21/03/2006	653	654.5	645.5	654	73412800	586.46
22/03/2006	649.5	661.5	649	657	79163800	589.15
23/03/2006	658	658	649.5	655.5	88300000	587.8
24/03/2006	660	670.5	660	668.5	78721400	599.46
27/03/2006	668	670	659	659	68868400	590.94
28/03/2006	663	668	659.5	663	104665000	594.53
29/03/2006	662	673.5	660	668.5	68250400	599.46
30/03/2006	670.5	675.5	669.5	670	52966300	600.81
31/03/2006	668	676.5	660.5	661	72938700	592.74
03/04/2006	664	677.5	663.5	674.5	63781300	604.84
04/04/2006	668.5	672	662	664.5	70449200	595.87
05/04/2006	672	675	663.5	675	89662700	605.29
06/04/2006	678	681	672	672.5	52966400	603.05
07/04/2006	672.5	691	672.5	681.5	161671400	611.12
10/04/2006	680.5	694.5	680	693.5	94721700	621.88
11/04/2006	700.5	706.5	693.5	695	122725100	623.22
12/04/2006	692.5	697	690	691	51170500	619.64
13/04/2006	688.5	690	684	688	60279300	616.95
14/04/2006	688	688	688	688	0	616.95
17/04/2006	688	688	688	688	0	616.95
18/04/2006	690.5	704.5	689.5	696.5	83169100	624.57
19/04/2006	703.5	706	696.5	704	73065300	631.29
20/04/2006	707	715	699	700.5	101368300	628.16
21/04/2006	703	712	702	712	85733500	638.47
24/04/2006	713.5	723	710.5	711.5	74211400	638.02
25/04/2006	707	712	701.5	701.5	92152400	629.05
26/04/2006	700.5	705.5	695	698	70576800	625.91
27/04/2006	691.5	694.5	678.5	683.5	114724800	612.91
28/04/2006	682	686	676.5	676.5	69288300	606.63
01/05/2006	676.5	676.5	676.5	676.5	0	606.63
02/05/2006	678.5	689.5	678	688	63745500	616.95
03/05/2006	690.5	693.5	676.5	677	86218500	607.08
04/05/2006	681	686	677.5	681	72947700	610.67
05/05/2006	678	685.5	673.5	684.5	118229700	613.81
08/05/2006	686	692.5	674.5	675	75017400	605.29
09/05/2006	679	684	675.5	683	82977600	612.46
10/05/2006	678.5	683	674	674.5	93540300	613.26
11/05/2006	681	684	673.5	673.5	64060900	612.35
12/05/2006	670	672	659.5	659.5	91408900	599.62
15/05/2006	657.5	660.88	642.64	646	121779500	587.35
16/05/2006	648	648	637.22	642	115628100	583.71
17/05/2006	643	645	620	620	127928100	563.71
18/05/2006	620	643.4	613.12	618	130411900	561.89
19/05/2006	617.5	630	614.5	623	138605200	566.44
22/05/2006	621	629.53	606.14	609.5	108614000	554.16
23/05/2006	616	637.5	615.86	635	105438800	577.35
24/05/2006	625.5	628.5	616.5	620	92366000	563.71
25/05/2006	619.5	634	608.1	634	86257400	576.44
26/05/2006	639	642	616.41	642	94006200	583.71
29/05/2006	642	642	642	642	0	583.71
30/05/2006	639.5	641.04	622.89	624.5	86240000	567.8
31/05/2006	620	638.38	616.4	625	103828100	568.25
01/06/2006	627	634	621.6	633	98344800	575.53
02/06/2006	637	641	615.21	633.5	62654900	575.98
05/06/2006	639.5	644.11	633.5	636	66645500	578.25
06/06/2006	629	633.85	625.85	628	78538100	570.98
07/06/2006	627	631.82	622.15	624	72547600	567.34
08/06/2006	605	639.52	601.12	603	141673700	548.25
09/06/2006	615	618.5	609	612	93590600	556.43
12/06/2006	612.5	615.89	605.65	607.5	56866700	552.34
13/06/2006	599	613.93	588	594	106104700	540.07
14/06/2006	591	598.1	581.15	586	104424200	532.79
15/06/2006	592.5	604.56	587.62	600	114888200	545.52
16/06/2006	610	612.92	596.5	599	127021800	544.61
19/06/2006	601	605.68	595.2	595.5	71140500	541.43
20/06/2006	591	603	584	602.5	124644000	547.8
21/06/2006	598.5	604.65	586.43	603.5	71260200	548.71
22/06/2006	609	614.42	597.3	605	90326800	550.07
23/06/2006	606.5	620.5	606	617	70091000	560.98
