Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	495.5	500	495.5	497.5	16783400	497.5
04/01/2006	500	501.5	494	498.5	26589900	498.5
05/01/2006	499	506	497	506	31462600	506
06/01/2006	508.5	515	507	514.5	22176000	514.5
09/01/2006	515	518	512	516	15492000	516
10/01/2006	512	514	508	510.5	18307100	510.5
11/01/2006	510.5	521	510.5	520.5	23001400	520.5
12/01/2006	519.5	521	518	519.5	16526500	519.5
13/01/2006	521	521.5	510.5	513	19742500	513
16/01/2006	511	514.5	508.5	512	11613500	512
17/01/2006	511	511	501.5	502.5	18247800	502.5
18/01/2006	499	500	493	496.5	13812900	496.5
19/01/2006	498.5	505	498.5	504	14877600	504
20/01/2006	502.5	505	489.5	491.5	17289600	491.5
23/01/2006	484.5	490	482	488.5	16787200	488.5
24/01/2006	488.5	490	482	485	16246300	485
25/01/2006	489	489	478	485	17182700	485
26/01/2006	488	493	485.5	490.5	15331400	490.5
27/01/2006	495	497	482.5	485	20760500	485
30/01/2006	483.5	485	472.5	478.5	22954900	478.5
31/01/2006	478.5	491.5	477	486	22826500	486
01/02/2006	498	507.5	483	502	67738200	502
02/02/2006	511	514.5	494	496.5	22145200	496.5
03/02/2006	497	505.5	494	505	15750000	505
06/02/2006	505	510	504.5	508	13522600	508
07/02/2006	511.5	516.5	507	510.5	13994100	510.5
08/02/2006	509	513	504	510	20676400	510
09/02/2006	509.5	521	507.5	518	16897000	518
10/02/2006	514.5	519	509	512.5	9959100	512.5
13/02/2006	516	517.5	509.5	516.5	8464600	516.5
14/02/2006	516.5	520.5	511	513.5	15756500	513.5
15/02/2006	513.5	519	510.5	517.5	10972300	517.5
16/02/2006	519.5	523.5	514.5	523.5	11229500	523.5
17/02/2006	522.5	535	520	532.5	25942300	532.5
20/02/2006	529.5	535.5	526	533.5	8801600	533.5
21/02/2006	537	537	528	529.5	12103500	529.5
22/02/2006	527	528	519	523	17904500	523
23/02/2006	521	526	516.5	521	13649500	521
24/02/2006	523.5	527	518	523.5	5376200	523.5
27/02/2006	528	528	518	522.5	14164100	522.5
28/02/2006	520.5	521	502	505	18883200	505
01/03/2006	507.5	510.5	495.5	509	15394800	509
02/03/2006	507	512.5	499.5	505.5	15582000	505.5
03/03/2006	502.5	510	502	506.5	6742700	506.5
06/03/2006	503.5	510.5	503.5	507.5	7591500	507.5
07/03/2006	505	514.5	505	509	8720100	509
08/03/2006	510	512	505	507	7868600	507
09/03/2006	512	513.5	510	513.5	10904800	513.5
10/03/2006	513.5	516.5	510.5	514.5	8418100	514.5
13/03/2006	515	522.5	515	520.5	10088300	520.5
14/03/2006	520.5	521	515	518	4364300	518
15/03/2006	518	522.5	513	521.5	10426300	521.5
16/03/2006	519.5	527	512	526.5	18816700	526.5
17/03/2006	528	534	521	531.5	28801300	531.5
20/03/2006	535	543.5	532	535	21141300	535
21/03/2006	534.5	536.5	532	534	12317400	534
22/03/2006	531	551	531	545.5	29419000	545.5
23/03/2006	545.5	559	545	545.5	15651800	545.5
24/03/2006	545.5	548	539	543	22176600	543
27/03/2006	545	552.5	540.5	546.5	12421600	546.5
28/03/2006	546.5	548	541	543	23322600	543
29/03/2006	539.5	543.5	537.5	540.5	14465300	540.5
30/03/2006	543	543	536	538	20868600	538
31/03/2006	538	546.5	536.5	540	13251300	540
03/04/2006	539.5	540	534.5	535	11088900	535
04/04/2006	532	535.5	532	533.5	11849100	533.5
05/04/2006	534.5	537.5	516	520	22127800	520
06/04/2006	519.5	525	517.5	519.5	7599200	519.5
07/04/2006	519.5	525	517	520.5	9917400	520.5
10/04/2006	521	524	516	517.5	4931000	517.5
11/04/2006	515.5	518	508.5	509.5	13428600	509.5
12/04/2006	508.5	513	503.5	509.5	11101800	509.5
13/04/2006	511	516	508.5	513.5	17520000	513.5
14/04/2006	513.5	513.5	513.5	513.5	0	513.5
17/04/2006	513.5	513.5	513.5	513.5	0	513.5
18/04/2006	512.5	516.5	510	512.5	6131700	512.5
19/04/2006	515	517.5	510.5	514	7476700	514
20/04/2006	512.5	516	511	512.5	11678500	512.5
21/04/2006	514	519	510.5	515.5	14281400	515.5
24/04/2006	512	516	510	515	6777500	515
25/04/2006	517	529	515.5	527	14819400	527
26/04/2006	530.5	533	525.5	530	12187800	530
27/04/2006	528.5	532	516.5	530.5	16772000	530.5
28/04/2006	529	529	496.5	525.5	27959600	525.5
01/05/2006	525.5	525.5	525.5	525.5	0	525.5
02/05/2006	523	531	521	529.5	9952400	529.5
03/05/2006	520.5	526	516	517.5	15179600	517.5
04/05/2006	516.5	522	516.5	518	14857400	518
05/05/2006	519.5	532	514.5	528	19270500	528
08/05/2006	501	531	501	527	69293800	527
09/05/2006	527	530	521	522.5	16039800	522.5
10/05/2006	522.5	522.5	516	517	15815400	517
11/05/2006	522	536.5	520	528.5	31115600	528.5
12/05/2006	525	535.5	524.5	527.5	26543300	527.5
15/05/2006	526.5	530.5	516.5	528.5	16750800	528.5
16/05/2006	526	558.11	526.49	545.5	64369100	545.5
17/05/2006	544	556	531.5	532.5	33433100	532.5
18/05/2006	533	536.5	519	525.5	36019900	525.5
