Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	227.5	227.5	212	220.5	35132000	220.5
04/01/2006	222.75	222.75	219	219.5	78256500	219.5
05/01/2006	219.75	220.25	217.5	217.75	57512400	217.75
06/01/2006	219	223	217.25	223	88785300	223
09/01/2006	224	224.75	222	223.25	80130000	223.25
10/01/2006	223.5	223.75	220.25	222	80701700	222
11/01/2006	222.25	223.5	221.25	223	46522500	223
12/01/2006	219.75	221.5	217.25	220.5	104888900	220.5
13/01/2006	221.5	221.5	214.75	215.25	75718500	215.25
16/01/2006	214	216	213.75	215.75	23202100	215.75
17/01/2006	215	216	210	210.25	69613600	210.25
18/01/2006	208	212	206.25	211.5	120915600	211.5
19/01/2006	213	213.5	208.5	209.25	82489000	209.25
20/01/2006	209	209	203.5	203.75	100894600	203.75
23/01/2006	201.5	208	201	207.25	76864800	207.25
24/01/2006	207.5	209	202.5	205	63725900	205
25/01/2006	206.75	208.5	204	208.5	33717100	208.5
26/01/2006	209.25	210.5	207.25	208.25	44148200	208.25
27/01/2006	209	211.75	208.5	210.25	51942600	210.25
30/01/2006	209.5	210	207.25	207.75	94861800	207.75
31/01/2006	207	207	203.75	205.5	80011800	205.5
01/02/2006	204.5	206	203.25	204.75	46547800	204.75
02/02/2006	206.25	207.25	204.75	205.5	38732600	205.5
03/02/2006	207	208	205	205.75	32279500	205.75
06/02/2006	206.5	208	204.75	207.25	41344200	207.25
07/02/2006	210	214.5	208.25	213.5	80743200	213.5
08/02/2006	213.5	216.25	211.5	212.5	49888300	212.5
09/02/2006	215	216.5	208	209	133494300	209
10/02/2006	209.25	213.5	208.75	211.5	64166600	211.5
13/02/2006	213	216	212	214.5	73725400	214.5
14/02/2006	216	216	213.5	214.5	61949000	214.5
15/02/2006	215.75	216	212.25	213	60965200	213
16/02/2006	213.75	214	211.75	212.75	36568400	212.75
17/02/2006	212.25	215	212.25	214	36880300	214
20/02/2006	212.75	213.75	211.75	213.25	15699100	213.25
21/02/2006	215	215	211.25	212.5	34134700	212.5
22/02/2006	213.25	213.25	208.75	210.25	32083000	210.25
23/02/2006	211.5	211.75	208.25	209	41543800	209
24/02/2006	210.75	211	208.25	210.75	18924900	210.75
27/02/2006	207	209.75	206.5	208.5	29176700	208.5
28/02/2006	208.25	210.25	204.5	205.75	48391900	205.75
01/03/2006	206.25	209.25	205.75	209.25	33086600	209.25
02/03/2006	209	212.5	206.75	208	31761100	208
03/03/2006	215	223.25	212	220.5	174247300	220.5
06/03/2006	225	232.5	224.5	231.75	161417200	231.75
07/03/2006	230.25	231.25	227.75	229.75	64958100	229.75
08/03/2006	229.75	229.75	224.5	225.5	49591200	225.5
09/03/2006	225	228.5	222.5	227.5	43659200	227.5
10/03/2006	227	227	222	224.5	62569300	224.5
13/03/2006	226.5	228.25	223	227.5	41055800	227.5
14/03/2006	226.5	230	225.75	227.75	42724600	227.75
15/03/2006	227.25	227.75	224.25	224.75	29823100	224.75
16/03/2006	224.5	237	224	233.5	101122100	233.5
17/03/2006	232.75	234.75	230	231.25	56955600	231.25
20/03/2006	231.25	232	225.5	227.25	42486100	227.25
21/03/2006	227.75	229.5	225	229	57555400	229
