Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	254.75	257.75	251.75	254.25	21868100	254.25
04/01/2006	255.5	256.5	250	251.5	21727300	251.5
05/01/2006	252	252.5	249.75	250.5	23360800	250.5
06/01/2006	251.75	251.75	247.75	249.75	14009200	249.75
09/01/2006	250.75	253	248.5	250	13645200	250
10/01/2006	250.5	255	247.25	250	16308400	250
11/01/2006	250	252	248.75	249.5	14016200	249.5
12/01/2006	248.5	251.75	248.5	250.25	12709100	250.25
13/01/2006	251.25	252.5	246.75	248.25	10805700	248.25
16/01/2006	246.75	251.25	246.75	251.25	7233100	251.25
17/01/2006	250.5	251.5	248.5	251.5	22977700	251.5
18/01/2006	250	261.75	249	258	37602600	258
19/01/2006	258.25	266.5	258	264	41521100	264
20/01/2006	265.25	266.5	262.5	263.25	28577400	263.25
23/01/2006	266	272.25	264	265	49269000	265
24/01/2006	265	269	259.75	262	33114300	262
25/01/2006	264	267	260.25	262.25	23079500	262.25
26/01/2006	264	266	261.25	262	19313900	262
27/01/2006	264.5	273	264	272	33566800	272
30/01/2006	272	272.25	266	271	14444600	271
31/01/2006	269.75	273.25	266.25	266.75	12106100	266.75
01/02/2006	269.25	271	267.75	270	22020000	270
02/02/2006	270.5	337.5	268.75	300	163605700	300
03/02/2006	293	301	285.75	293.25	79721100	293.25
06/02/2006	290.25	295	283.5	284.75	21473200	284.75
07/02/2006	286.5	290	283	286.75	22373200	286.75
08/02/2006	285.25	296.75	282.5	288.75	32589300	288.75
09/02/2006	288.5	290	285.5	285.5	11028000	285.5
10/02/2006	286.25	294.5	284	287.5	14988500	287.5
13/02/2006	289	290	282	283.5	13502600	283.5
14/02/2006	285.75	288.5	279	281.5	30889900	281.5
15/02/2006	283.5	285	278.75	280	21078400	280
16/02/2006	280	283.25	278.25	281	20163200	281
17/02/2006	282.5	297	282.5	286	14752700	286
20/02/2006	285.25	298.25	285.25	296	49372900	296
21/02/2006	299	311.5	296.25	297.25	36467400	297.25
22/02/2006	296	301.75	295	296.25	23049000	296.25
23/02/2006	296	297	283.25	285.75	38968900	285.75
24/02/2006	288	291	283.5	287.75	18027800	287.75
27/02/2006	291	295	289	293	15964300	293
28/02/2006	292	296.5	289.25	290.5	24482600	290.5
01/03/2006	291	295.75	289	294.5	19241400	294.5
02/03/2006	293.25	298	290.5	296	19176900	296
03/03/2006	296	297.75	292.5	296	12578800	296
06/03/2006	297	301	292	299.25	14602200	299.25
07/03/2006	296.5	302.25	296.5	299.25	14765300	299.25
08/03/2006	299.75	304	287.25	289.5	25282800	289.5
09/03/2006	292.25	293.5	285.75	289.75	19370100	289.75
10/03/2006	290	294	289.25	294	17621500	294
13/03/2006	294.25	297.75	291.5	294	11598200	294
14/03/2006	292.5	296.75	290.5	294	10545100	294
15/03/2006	297	300	294.75	298	16379000	298
16/03/2006	300	306.25	297	300.25	24175700	300.25
17/03/2006	305	307.25	298.75	299	28912700	299
20/03/2006	300	302	295.75	296.25	12950900	296.25
21/03/2006	295.25	301	294	300	10716200	300
22/03/2006	298.25	301.75	298	301.75	14348400	301.75
23/03/2006	301.75	304	296.5	298.5	9195600	298.5
24/03/2006	298.75	304.25	293.75	297.25	13267300	297.25
27/03/2006	295.75	300	289.75	289.75	29421400	289.75
28/03/2006	291	292.5	282	284.25	24727600	284.25
29/03/2006	283	291.5	282.5	285	17446700	285
30/03/2006	285.5	288	283.5	285	13461500	285
31/03/2006	285.75	286.5	281	281.5	38933300	281.5
03/04/2006	281.5	284.5	281.25	284	27358700	284
04/04/2006	284.5	285.75	281.5	283.5	46630500	283.5
05/04/2006	282.75	285.5	281.75	283	16666000	283
06/04/2006	283.75	287.5	283.5	287	29876700	287
07/04/2006	287	294	284	284.25	20843100	284.25
10/04/2006	282.5	287	282.5	286.5	18211600	286.5
11/04/2006	285.5	287	280.25	281.5	68342700	281.5
12/04/2006	280.25	285.25	280.25	284.25	36069100	284.25
13/04/2006	284.75	285.75	281.25	285.25	14379300	285.25
14/04/2006	285.25	285.25	285.25	285.25	0	285.25
17/04/2006	285.25	285.25	285.25	285.25	0	285.25
18/04/2006	285	289.5	282	283.5	15251900	283.5
19/04/2006	284.75	291.75	284.75	291.25	23036600	291.25
20/04/2006	290.75	297.25	290	292	21353700	292
21/04/2006	293	299	293	298	23558200	298
24/04/2006	298	306.5	297.75	304.25	35904800	304.25
25/04/2006	304	313	299.75	302.25	16633300	302.25
26/04/2006	304	318.5	304	307.25	58429300	307.25
27/04/2006	306.5	315	298	298.75	24069100	298.75
28/04/2006	298.75	304.75	298	298.75	17292900	298.75
01/05/2006	298.75	298.75	298.75	298.75	0	298.75
02/05/2006	302.5	304.75	298.25	300.5	45044500	300.5
03/05/2006	301.75	308	296.5	298	18083200	298
04/05/2006	297.25	302.25	296.5	298	16593400	298
05/05/2006	297.25	308	297.25	303.5	52018500	303.5
08/05/2006	304	307.5	298.5	299.25	21529800	299.25
09/05/2006	298.25	307	297	300	27580300	300
10/05/2006	301.25	301.5	296	296	32239800	296
11/05/2006	295	299	293.25	293.25	15185100	293.25
12/05/2006	292	297	287.75	290	19595500	290
15/05/2006	289.25	289.75	280.5	288	14380400	288
16/05/2006	289.25	290	283.34	283.5	22894000	283.5
17/05/2006	283	287.91	273.19	274.25	21467400	274.25
18/05/2006	274	277.75	266.75	269.5	21005000	269.5
19/05/2006	260	267	252	264.75	46943400	264.75
22/05/2006	263.75	266.31	259.09	260.75	10541100	260.75
23/05/2006	260.75	270.75	260.58	268	20716600	268
24/05/2006	263.5	274.9	262.53	271	30860200	271
25/05/2006	270	273.5	268.25	270.75	17921500	270.75
26/05/2006	274.5	277.82	271	276.75	10042200	276.75
29/05/2006	276.75	276.75	276.75	276.75	0	276.75
30/05/2006	274	278.64	270.87	271.75	47552500	271.75
31/05/2006	268	282	265.25	278.5	19005500	278.5
01/06/2006	277.25	283.48	271.12	275	21885900	275
02/06/2006	276.5	279.5	274.75	276.25	21886800	276.25
05/06/2006	276.5	277.1	272.59	274.25	7005600	274.25
06/06/2006	272.75	278	270.25	270.25	17326900	270.25
07/06/2006	270.25	278.5	268.25	275	31049600	275
08/06/2006	268.25	287.12	267.25	279	42812200	279
09/06/2006	281	284.13	277.45	279	28349100	279
12/06/2006	279	284.93	278.54	282.75	58963000	282.75
13/06/2006	279	280.14	269.71	270.75	23325000	270.75
14/06/2006	271.75	278.33	267	271	19321700	271
15/06/2006	271.5	276.8	271.04	272	18308900	272
16/06/2006	275.5	277.83	269.25	269.25	36632400	269.25
19/06/2006	272.75	282.77	268.32	271.25	21001300	271.25
20/06/2006	269.75	282.33	269.75	282	37548300	282
21/06/2006	283.25	285.38	280.07	284	22582200	284
22/06/2006	286	287.61	278.11	279.75	25866000	279.75
23/06/2006	278.75	282.42	272.56	274.25	17425000	274.25
26/06/2006	275	277.5	269	269	32732700	269
27/06/2006	272	275.11	269.31	271	17207000	271
28/06/2006	269	275.25	269	272	15175800	272
29/06/2006	275	275.5	271.5	274	19744800	274
30/06/2006	280	293.75	276.75	285.25	38859100	285.25
03/07/2006	285.5	292.25	279.75	282.5	20282800	282.5
04/07/2006	281.5	287.25	278.75	286.25	6953100	286.25
05/07/2006	282	286.5	280.5	282	8977700	282
06/07/2006	282.25	285	280	283.25	14773900	283.25
07/07/2006	281.5	284.25	277	279.25	13012100	279.25
10/07/2006	280.25	281	275.25	278	11933800	278
11/07/2006	278.25	279	273	273.25	16307900	273.25
12/07/2006	274	277	273.25	275.25	11455400	275.25
13/07/2006	273.5	276.5	271.75	272.75	9320000	272.75
14/07/2006	271	273	268	270.25	12515300	270.25
17/07/2006	270	276.5	270	275.25	22339800	275.25
18/07/2006	273	278.5	273	277	16153800	277
19/07/2006	281	283.75	277	282.25	20672400	282.25
20/07/2006	282.5	286	277.25	278.75	13078900	278.75
21/07/2006	278.5	283.75	277	279	18132300	279
24/07/2006	280	287.25	278.5	286	25778000	286
25/07/2006	286.5	288	285.75	286	26639700	286
26/07/2006	286.75	294	284	292.5	34968100	292.5
27/07/2006	289	299	286.75	292.75	32614900	292.75
28/07/2006	292.5	297	292.5	295.75	20373200	295.75
31/07/2006	295.5	297.25	292.5	293	18404300	293
01/08/2006	291.75	296	291.75	295.25	21469700	295.25
02/08/2006	296.5	298	294	296.5	17049600	296.5
04/08/2006	296.25	298	292.5	292.75	12620700	292.75
07/08/2006	290	290.75	288.5	290	13026900	290
08/08/2006	291.25	292.5	289.5	291.5	13196400	291.5
09/08/2006	293.25	295.5	290.5	291.5	17393900	291.5
10/08/2006	289	293.75	286.5	292.75	14969400	292.75
11/08/2006	292.25	295.5	291	293	8864200	293
14/08/2006	294.75	295.25	292.25	294.75	11241300	294.75
15/08/2006	293.5	295.75	292.5	295.5	14921500	295.5
16/08/2006	294.75	299.25	291.75	297.25	17047400	297.25
17/08/2006	297.25	299.75	295.75	297.5	11602700	297.5
18/08/2006	296.5	298.25	295.5	297.25	15075900	297.25
21/08/2006	297.75	299.75	294	296	11141400	296
22/08/2006	295.75	298.75	290.75	290.75	15470700	290.75
23/08/2006	292	292	287	287.75	18493200	287.75
24/08/2006	289	294.25	287	293.25	17208700	293.25
25/08/2006	294.25	296.25	291	293.5	8213800	293.5
29/08/2006	294.5	295.5	291.75	292.75	8940100	292.75
30/08/2006	293.25	295.75	292	294.75	14885300	294.75
31/08/2006	294.5	297.5	294.5	295	14058000	295
01/09/2006	294.75	304	294.75	300.25	22177200	300.25
04/09/2006	299.75	304.5	298.25	302.5	12355600	302.5
05/09/2006	303.25	312.75	303.25	308.25	39933500	308.25
06/09/2006	310	314	306.5	307.25	23789200	307.25
07/09/2006	305.5	313	303.75	311.5	24218500	311.5
08/09/2006	311	313.5	310.75	311.75	18792800	311.75
11/09/2006	310.25	313.25	310	311	7433900	311
12/09/2006	310.5	319.75	310.5	319.75	39243200	319.75
13/09/2006	319	321	312.5	313.75	34404700	313.75
14/09/2006	314.25	316.5	313	313.25	44918800	313.25
15/09/2006	312.25	315.5	310	313.75	55191600	313.75
18/09/2006	315	318	311.75	315.75	10289400	315.75
19/09/2006	316.25	319.25	315.25	317.75	21964800	317.75
20/09/2006	317	319	315.5	318.5	13205800	318.5
21/09/2006	320.5	325.25	318	324.25	39014700	324.25
22/09/2006	321.25	326	319.25	320	17321500	320
25/09/2006	320	325.75	318	318.5	20720100	318.5
26/09/2006	318.5	327.5	318.5	325	27088600	325
27/09/2006	323.25	332.25	321.5	324.25	22503800	324.25
