Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	223.25	226.75	222	226.5	25280000	226.5
04/01/2006	230	231.25	227.25	230.5	28142100	230.5
05/01/2006	230.5	231.75	223.75	225	91208200	225
06/01/2006	227	230.5	224.25	229.25	24541100	229.25
09/01/2006	230	230.5	228	228.5	20292000	228.5
10/01/2006	229	231.25	228.5	230.5	36247800	230.5
11/01/2006	231.25	235.5	229.5	235.25	39466000	235.25
12/01/2006	234.25	237.25	234.25	236.75	42003200	236.75
13/01/2006	235	235.75	231.75	233.5	13477100	233.5
16/01/2006	232.25	233	231.25	232	11756100	232
17/01/2006	229.5	231.5	228.25	229.75	9297500	229.75
18/01/2006	229	229	227	227.25	11943300	227.25
19/01/2006	227.75	231.75	227.75	230.25	12123300	230.25
20/01/2006	230.25	235.5	230.25	233.75	15618100	233.75
23/01/2006	232.5	234.5	229.25	233.5	11803000	233.5
24/01/2006	231	231	226.75	230	37141100	230
25/01/2006	230	232.75	227.25	229.75	50825900	229.75
26/01/2006	231.25	234.5	224.25	224.5	26819700	224.5
27/01/2006	226.75	226.75	224.25	225	25204100	225
30/01/2006	224.25	224.75	220.75	221.5	31164300	221.5
31/01/2006	222	223	220.5	221.75	24239100	221.75
01/02/2006	220.75	226	217	225	17616500	225
02/02/2006	226.5	226.5	221	221.5	11252300	221.5
03/02/2006	221.25	223.5	218.75	222.75	11275400	222.75
06/02/2006	222.5	222.5	215.25	221.75	8002500	221.75
07/02/2006	220.25	222.5	216.75	221.5	13066600	221.5
08/02/2006	214.75	216	211.5	214.5	15151800	214.5
09/02/2006	214.5	219.75	214.5	218.25	10344500	218.25
10/02/2006	222.25	223.5	219.75	220.75	22553900	220.75
13/02/2006	221.75	222.5	212.5	216.25	30969400	216.25
14/02/2006	218	218	213.25	215	12397000	215
15/02/2006	215	216	213.5	214.5	11204900	214.5
16/02/2006	215.5	215.5	211	214.25	21565800	214.25
17/02/2006	215.25	217.5	213.25	217	14917400	217
20/02/2006	218	218	214.75	217.25	7414000	217.25
21/02/2006	218.5	219	217	218	13625300	218
22/02/2006	218	218	214.25	216.75	32949700	216.75
23/02/2006	217.5	217.5	212.5	213.25	11100500	213.25
24/02/2006	213.25	215	212	214.75	29776500	214.75
27/02/2006	216	218.75	215	218.75	7658400	218.75
28/02/2006	219.25	219.75	215.25	217.25	49871400	217.25
01/03/2006	218.5	219	216.75	218.75	25111600	218.75
02/03/2006	219	220	216.5	218	16048600	218
03/03/2006	219	219.25	216.5	218	7877800	218
06/03/2006	219	219.5	215.25	219.25	13334600	219.25
07/03/2006	218	219.5	216.25	218.5	61856400	218.5
08/03/2006	218.5	220.5	214	214	33123500	214
09/03/2006	214.5	218.5	214	218.5	16410000	218.5
10/03/2006	218.5	221.75	216.75	221	27547300	221
13/03/2006	221.5	224.75	221.5	222.75	12306900	222.75
14/03/2006	222.75	225.75	220.75	224.25	26736900	224.25
15/03/2006	225.5	230.5	223.25	228.25	33537000	228.25
16/03/2006	229	231	225.25	230.5	24152100	230.5
17/03/2006	230	232.75	229.25	230	15544800	230
20/03/2006	231.25	231.75	228.25	228.25	23113300	228.25
21/03/2006	227.75	231.5	223.75	226.5	10963800	226.5
22/03/2006	226	227.75	222.25	225.75	6052500	225.75
23/03/2006	227.25	239.75	227.25	235.25	29473200	235.25
24/03/2006	241	251	236.25	238.75	24819800	238.75
27/03/2006	240	246	234.5	237	18546800	237
28/03/2006	237	237	230.25	230.75	46141600	230.75
29/03/2006	230.75	240	229.5	232	12032900	232
30/03/2006	233.5	236.25	224.25	229	22744700	229
