Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	860	870	838.5	846	18340900	846
04/01/2006	848	851.5	842.5	848	12959000	848
05/01/2006	850	850	835.5	838.5	16956300	838.5
06/01/2006	838	842.5	836	841	17887000	841
09/01/2006	843.5	847	841	843	19115600	843
10/01/2006	843.5	845.5	838	842.5	21749800	842.5
11/01/2006	847	848.5	844	848.5	12471000	848.5
12/01/2006	846	855	846	852.5	17308100	852.5
13/01/2006	849.5	854	841	844	10033400	844
16/01/2006	845	845.5	832	835	12945000	835
17/01/2006	834.5	836	827	828.5	17817400	828.5
18/01/2006	823	835	819	831.5	16510700	831.5
19/01/2006	832.5	839	830.5	833.5	12289000	833.5
20/01/2006	829.5	840	826.5	829.5	10194500	829.5
23/01/2006	826.5	830	817	823	15696500	823
24/01/2006	823	833	820	830	12054100	830
25/01/2006	829	837	829	836	11763600	836
26/01/2006	840	853.5	839.5	842.5	18462400	842.5
27/01/2006	843	845	832.5	841	15631100	841
30/01/2006	839	841	834	836.5	8419100	836.5
31/01/2006	841	844.5	835	836.5	15010200	836.5
01/02/2006	837	847	835.5	846.5	15018500	846.5
02/02/2006	846.5	858	843.5	850	19400000	850
03/02/2006	854	859.5	848.5	852.5	17922100	852.5
06/02/2006	850	852.5	848	850	21526000	850
07/02/2006	850	851	840	842	32288200	842
08/02/2006	843	850	838	849.5	27043400	849.5
09/02/2006	852	855.5	845	852.5	14817300	852.5
10/02/2006	848	852	844	850	12779000	850
13/02/2006	841.5	853	841.5	849.5	23800900	849.5
14/02/2006	848	853.5	846	853	19756300	853
15/02/2006	853	862	848	855	16984000	855
16/02/2006	868	878	862.5	868.5	31568500	868.5
17/02/2006	868.5	882.5	868.5	879	25862000	879
20/02/2006	880	884	872.5	878	12208800	878
21/02/2006	884	884	873.5	879	17946300	879
22/02/2006	877	879	871.5	877.5	17268500	877.5
23/02/2006	877	878	873.5	874	17772200	874
24/02/2006	877	877.5	872	875.5	17463000	875.5
27/02/2006	872.5	878.5	872.5	877	14012500	877
28/02/2006	878	883	873.5	876	22206100	876
01/03/2006	873	888	873	886.5	27352400	886.5
02/03/2006	889	894.5	882	886.5	13999000	886.5
03/03/2006	884	900	884	895	17289700	895
06/03/2006	895	898	888.5	897	10147300	897
07/03/2006	890	909.5	890	908	13426500	908
08/03/2006	900	900	887.5	893.5	14206700	893.5
09/03/2006	900	900	887.5	893.5	14104800	893.5
10/03/2006	889.5	913	889.5	911.5	15410400	911.5
13/03/2006	919.5	920	909	913	31395500	913
14/03/2006	914	914	906	912	20111500	912
15/03/2006	913.5	917.5	909.5	912.5	20379700	912.5
16/03/2006	918	925.5	911	925	29771200	925
17/03/2006	925	934.5	922	925	21541100	925
20/03/2006	927	927	914.5	916.5	11037700	916.5
21/03/2006	918	921.5	910.5	920.5	15175300	920.5
22/03/2006	915.5	920.5	911.5	913.5	11973600	913.5
23/03/2006	916.5	916.5	906	911	17029200	911
24/03/2006	909.5	919	905	908.5	10954900	908.5
27/03/2006	908	912	898.5	905	19895100	905
28/03/2006	905.5	913.5	905	910	17897800	910
29/03/2006	911.5	912.5	905	909	12522600	909
30/03/2006	911.5	920	908	911	13376200	911
31/03/2006	910.5	911	903.5	906.5	11526800	906.5
03/04/2006	913	916	908	910.5	15401700	910.5
04/04/2006	903.5	908.5	897	898.5	16481700	898.5
05/04/2006	897	910.5	888.5	909.5	17823800	909.5
06/04/2006	913.5	913.5	896.5	898.5	22251600	898.5
07/04/2006	898	906.5	894	900	25609200	900
10/04/2006	895.5	905	895.5	903.5	38188500	903.5
11/04/2006	903.5	904	882.5	886	25582200	886
12/04/2006	887	896.5	877.5	889	25787400	889
13/04/2006	887.5	891.5	885	889	9192200	889
14/04/2006	889	889	889	889	0	889
17/04/2006	889	889	889	889	0	889
18/04/2006	887	887.5	876	880.5	16302900	880.5
19/04/2006	883.5	908	881	897	27641300	897
20/04/2006	901	923	895.5	918	30363500	918
21/04/2006	919	921.5	914.5	916	38947900	916
24/04/2006	916	920.5	909.5	919.5	12702000	919.5
25/04/2006	918	925	914	917.5	14758400	917.5
26/04/2006	922.5	923	915.5	919.5	15573900	919.5
27/04/2006	920	921	903.5	914.5	17335200	914.5
28/04/2006	916.5	916.5	900	905	8708700	905
01/05/2006	905	905	905	905	0	905
02/05/2006	903.5	913	896.5	905.5	21394500	905.5
03/05/2006	907.5	910.5	896.5	898	16092500	898
04/05/2006	897	905	893.5	902	11371700	902
05/05/2006	900	906	896	904	12564300	904
08/05/2006	903	911	900	907	12931600	907
09/05/2006	909.5	912.5	906	910.5	11118000	910.5
10/05/2006	911.5	913.5	900.5	903.5	14824400	903.5
11/05/2006	906	920	904	912	14728200	912
12/05/2006	906	909.5	895.5	896.5	17062500	896.5
15/05/2006	891	894.85	872.23	885.5	15062800	885.5
16/05/2006	870.5	900.12	870.5	892.5	13788500	892.5
17/05/2006	894	894	871	871	14608700	871
18/05/2006	868	878	866	871.5	16053300	871.5
19/05/2006	867	872	861.5	866.5	14246600	866.5
22/05/2006	868	878.5	852.5	869	25214800	869
23/05/2006	875	880	864.5	875	19510200	875
24/05/2006	862.5	876.37	862.5	867.5	11572100	867.5
25/05/2006	866	880.68	865	877	11641500	877
26/05/2006	886	901.5	883.5	898.5	10489600	898.5
29/05/2006	898.5	898.5	898.5	898.5	0	898.5
30/05/2006	899.5	925	871.5	872.5	15664000	872.5
31/05/2006	871	882.5	864	877	19270200	877
01/06/2006	875	890.34	872	887.5	20139500	887.5
02/06/2006	891	897	880.84	889.5	11151500	889.5
05/06/2006	897	903	885.9	898.5	12498000	898.5
06/06/2006	894	898	891	894	11180100	894
07/06/2006	900.5	919.5	900	917.5	24883300	917.5
08/06/2006	904	917.5	902	902	18313400	902
09/06/2006	902	907.5	896.41	906	16945300	906
12/06/2006	900.5	909.13	896.77	904.5	17139200	904.5
13/06/2006	895	906.27	886.89	891	18715800	891
14/06/2006	893	897.87	467.1	895	16310800	895
15/06/2006	896	909.5	889.5	905	17720200	905
16/06/2006	913	916.11	896.2	900	25458800	900
19/06/2006	902.5	910.15	902.5	903	10238500	903
20/06/2006	898.5	925.5	898.5	923	29411900	923
21/06/2006	920	928	910	914	20910800	914
22/06/2006	916.5	920.25	907	913	21306000	913
23/06/2006	912	915.88	907.71	908	18169500	908
26/06/2006	910.5	912.63	906.05	908	21474200	908
27/06/2006	910	913.37	903.5	906	15968700	906
28/06/2006	905.5	918.87	901.08	910.5	16334300	910.5
29/06/2006	900	917.5	886	915.5	37348700	915.5
30/06/2006	924.5	930	904	909.5	22811100	909.5
03/07/2006	914	924	913.5	921	12858800	921
04/07/2006	918	925	909	917	6749200	917
05/07/2006	912.5	919	908	912	9427300	912
06/07/2006	912	919.5	910	914.5	8825300	914.5
07/07/2006	911.5	912	900.5	903	15296500	903
10/07/2006	898.5	921	898	918	12416500	918
11/07/2006	916.5	923	915.5	919.5	10835000	919.5
12/07/2006	922.5	934	921.5	923.5	14543500	923.5
13/07/2006	920	923.5	909	915	12287300	915
14/07/2006	909	911.5	902.5	904.5	9178700	904.5
17/07/2006	904	907	892.5	899.5	11372700	899.5
18/07/2006	896	904	891	895	16384900	895
19/07/2006	905	905	884.5	901	18223100	901
20/07/2006	902	908.5	898.5	904.5	10804100	904.5
21/07/2006	903	910	893.5	901	11122800	901
24/07/2006	904	920	904	916	12723500	916
25/07/2006	916	922	910	919	16629100	919
26/07/2006	919	920.5	914	920	14954500	920
27/07/2006	922.5	941	922	937	22512200	937
28/07/2006	935.5	954.5	930	948.5	10261000	948.5
31/07/2006	948	948	937.5	941	13191300	941
01/08/2006	938.5	945	924	927	12814700	927
02/08/2006	931.5	940.5	924.5	937	11469100	937
03/08/2006	937	937	937	937	0	937
04/08/2006	940	940	919	925.5	9542200	925.5
07/08/2006	919.5	928.5	912.5	919.5	7402300	919.5
08/08/2006	922	924.5	915.5	919	11146300	919
09/08/2006	925.5	931	915	931	8957300	931
10/08/2006	922.5	931	912	927.5	13123900	927.5
11/08/2006	926	933.5	922.5	931.5	6413300	931.5
14/08/2006	939	947	935	944.5	10029600	944.5
15/08/2006	945	965.5	940	962.5	13776700	962.5
16/08/2006	964.5	965	948.5	953.5	9929100	953.5
17/08/2006	958	962	945	949	12625400	949
18/08/2006	949	956	945.5	950	7937400	950
21/08/2006	951.5	960	945	951	5102300	951
22/08/2006	954.5	963.5	953.5	956	11474000	956
23/08/2006	954	956.5	946.5	948.5	11976000	948.5
24/08/2006	953	953	943	950	9503900	950
25/08/2006	949.5	950	941	944	22305300	944
28/08/2006	944	944	944	944	0	944
29/08/2006	948.5	954.5	943	945	19915300	945
30/08/2006	949	970	945	959	16311600	959
31/08/2006	941.5	944.5	926	935	53681400	935
01/09/2006	939.5	947.5	932	940.5	14638700	940.5
04/09/2006	940	950.5	940	948.5	10118800	948.5
05/09/2006	949	949	940	945	10984200	945
06/09/2006	941.5	948	938.5	942.5	12206700	942.5
07/09/2006	942	945.5	935.5	936	17859900	936
08/09/2006	938	942	929	933	11811000	933
11/09/2006	931.5	939.5	926.5	938.5	8709800	938.5
12/09/2006	938.5	949	938.5	944.5	15004300	944.5
13/09/2006	929	934	927.5	930.5	11913300	930.5
14/09/2006	929.5	934	925.5	928	8833600	928
15/09/2006	930	932	926	927.5	22300200	927.5
18/09/2006	928	939.5	927	935.5	7899200	935.5
19/09/2006	933	944	929	936.5	12081000	936.5
20/09/2006	940.5	946	935	941.5	9474600	941.5
21/09/2006	944.5	950	936	944.5	12605700	944.5
22/09/2006	941	941.5	929	935	7001200	935
25/09/2006	939	949	938	944	16050900	944
26/09/2006	946.5	957.5	942.5	953	13866500	953
27/09/2006	953.5	955.5	937	943.5	18302700	943.5
28/09/2006	947	949	938.5	941	10468200	941
29/09/2006	939	949.5	935	943.5	12565100	943.5
02/10/2006	942	951.5	938	941	17196100	941
03/10/2006	958	958	932	940.5	15660600	940.5
04/10/2006	946.5	948.5	936	942	13061900	942
05/10/2006	945	955.5	943.5	954	17286300	954
06/10/2006	958	961.5	947	956	8609800	956
09/10/2006	952.5	956	948	949.5	9032500	949.5
10/10/2006	953	953	945	946.5	9679800	946.5
11/10/2006	944	955	944	950.5	13241800	950.5
12/10/2006	952.5	960.5	948.5	958.5	12911400	958.5
13/10/2006	960	964	952	954.5	8383700	954.5
16/10/2006	952.5	957.5	950.5	952.5	11088400	952.5
17/10/2006	950	964.5	947.5	950	10379600	950
18/10/2006	951.5	963	951.5	957.5	10769500	957.5
19/10/2006	957.5	963	955	957.5	18259600	957.5
20/10/2006	956.5	962	953	959	17295900	959
23/10/2006	964	967	955.5	965	8640200	965
24/10/2006	961	970	957	962	10350200	962
25/10/2006	962	979	959.5	971.5	14262000	971.5
26/10/2006	972	983.5	970	978.5	11149800	978.5
27/10/2006	981	990	973	977	17876800	977
30/10/2006	973.5	991	969	970.5	17655000	970.5
31/10/2006	968	974	965	970	13524400	970
01/11/2006	967	981	962	976.5	45103500	976.5
02/11/2006	973	977	970	971.5	29727700	971.5
03/11/2006	968	976.5	967.5	969.5	13380200	969.5
06/11/2006	972	973.5	968.5	972.5	13023800	972.5
07/11/2006	970	980	967	978.5	11323300	978.5
08/11/2006	977	984	975	978	11629700	978
09/11/2006	978	991.5	974.5	986	19826900	986
10/11/2006	987.5	998	985	990.5	12774800	990.5
13/11/2006	990	1007	986.5	997.5	15674900	997.5
14/11/2006	996.5	1005	992.5	995	9651300	995
15/11/2006	1001	1006	993.5	996	12788500	996
16/11/2006	992.5	999	986	995.5	14488300	995.5
17/11/2006	997.5	1004.5	992	993	10891900	993
20/11/2006	988	1006	988	1001.5	8311700	1001.5
21/11/2006	1004	1006.5	992.5	996	11999000	996
22/11/2006	1000	1003	987	992	10169000	992
23/11/2006	992	997.5	985	992.5	6568700	992.5
24/11/2006	987.5	991	978.5	987	7809500	987
27/11/2006	990.5	990.5	975.5	979.5	18182800	979.5
28/11/2006	981.5	990	977.5	985	13415700	985
29/11/2006	985.5	990.5	980	986.5	11893800	986.5
30/11/2006	986.5	992	975	976.5	16488000	976.5
01/12/2006	981.5	986	970.5	976	22297400	976
04/12/2006	975	982	971.5	975	12423700	975
05/12/2006	975	980.5	969.5	975.5	9947100	975.5
06/12/2006	971	980	970	974	15012300	974
07/12/2006	974.5	981	973.5	979	13664200	979
08/12/2006	978.5	988	978.5	985.5	9809700	985.5
11/12/2006	992	995	988.5	990.5	10666100	990.5
12/12/2006	988	993	986.5	988	15967300	988
13/12/2006	985.5	997	984.5	994	16965400	994
14/12/2006	997	1000	988	995.5	8761700	995.5
15/12/2006	999	1000	991.5	995.5	18651600	995.5
18/12/2006	992	997.5	989.5	995	5470600	995
19/12/2006	994.5	997.5	985.5	988	13257800	988
20/12/2006	993	993.5	984.5	985	9145800	985
21/12/2006	982.5	989.5	981	985	5304500	985
22/12/2006	985.5	989	981	984	2539000	984
25/12/2006	984	984	984	984	0	984
26/12/2006	984	984	984	984	0	984
27/12/2006	998	1009	997	1005.5	7704500	1005.5
28/12/2006	1009	1015	999.5	1010	5037800	1010
29/12/2006	1009	1016.5	999.5	1002.5	7078200	1002.5
01/01/2007	1002.5	1002.5	1002.5	1002.5	0	1002.5
02/01/2007	1009	1016	1004	1012	6627600	1012
03/01/2007	1014.5	1016.5	1008.5	1016.5	9084400	1016.5
04/01/2007	1012.5	1027	1009	1009.5	13315200	1009.5
05/01/2007	1003.5	1005	993.5	996	14392900	996
08/01/2007	996	1000	987.5	990	8779900	990
09/01/2007	991.5	996	984	991	12826000	991
10/01/2007	986.5	993	976.5	986.5	16930100	986.5
11/01/2007	988.5	998	979	992.5	10993400	992.5
12/01/2007	993.5	1008.5	993.5	1008	14124300	1008
15/01/2007	1013	1013	998	1001.5	17595600	1001.5
16/01/2007	998.5	1007	995	998	11728700	998
17/01/2007	1000	1003.5	987.5	993.5	11884200	993.5
18/01/2007	993	996.5	985.5	989.5	12682700	989.5
19/01/2007	990	993	982	984.5	12927800	984.5
22/01/2007	983.5	988.5	977	980	14046200	980
23/01/2007	984.5	990.5	980	981	16463500	981
24/01/2007	981	1002	978.5	1000.5	21304000	1000.5
25/01/2007	1005.5	1013	992.5	993.5	19917600	993.5
26/01/2007	991	1008	989.5	997.5	15369700	997.5
29/01/2007	998	1006	997.5	997.5	9614300	997.5
30/01/2007	993	1006.5	992	1002	10724800	1002
31/01/2007	996.5	1002	988.5	990	20473200	990
01/02/2007	998.5	1007	996.5	1001	45350900	1001
02/02/2007	1000	1006	997.5	1000	32244200	1000
05/02/2007	996.5	1003.5	996	999.5	19157100	999.5
06/02/2007	999	1010	997.5	1007	21310500	1007
07/02/2007	1004	1010	996.5	1005	15387200	1005
08/02/2007	1008.5	1015	1004.5	1006	9668400	1006
09/02/2007	1011	1013	1006	1010.5	11009700	1010.5
12/02/2007	1008	1012.5	1000	1006	21597300	1006
13/02/2007	1007	1021.5	1006.5	1020.5	14787300	1020.5
14/02/2007	1028	1028	1014.5	1021	12207000	1021
15/02/2007	1037	1067	1037	1045	38946900	1045
16/02/2007	1042.5	1047	1028.5	1037.5	14480600	1037.5
19/02/2007	1042.5	1050	1037	1047.5	7465500	1047.5
20/02/2007	1048	1049	1038.5	1042	12286800	1042
21/02/2007	1046.5	1048	1033.5	1036	11300000	1036
22/02/2007	1036	1043.5	1033.5	1036	12155800	1036
23/02/2007	1043.5	1043.5	1030	1042	16772800	1042
26/02/2007	1046	1048.5	1039	1040	18665800	1040
27/02/2007	1037	1041	1015.5	1020.5	14378200	1020.5
