Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	1463	1476	1439	1456	27388700	1456
04/01/2006	1463	1497	1457	1483	16279000	1483
05/01/2006	1483	1507	1477	1496	13732300	1496
06/01/2006	1490	1497	1465	1478	14509800	1478
09/01/2006	1480	1502	1476	1491	16218400	1491
10/01/2006	1491	1499	1472	1473	11511200	1473
11/01/2006	1482	1489	1466	1474	12494500	1474
12/01/2006	1470	1470	1451	1457	13089200	1457
13/01/2006	1457	1465	1446	1456	15227400	1456
16/01/2006	1455	1478	1454	1466	10960900	1466
17/01/2006	1458	1465	1448	1454	17660400	1454
18/01/2006	1438	1448	1426	1442	17851900	1442
19/01/2006	1442	1445	1433	1435	16287100	1435
20/01/2006	1440	1442	1419	1424	16260600	1424
23/01/2006	1417	1427	1410	1426	13888700	1426
24/01/2006	1430	1448	1428	1428	22344400	1428
25/01/2006	1430	1445	1426	1437	14910000	1437
26/01/2006	1437	1445	1428	1440	22188600	1440
27/01/2006	1447	1480	1440	1469	24231100	1469
30/01/2006	1464	1471	1443	1448	15943000	1448
31/01/2006	1442	1458	1434	1438	24956400	1438
01/02/2006	1426	1457	1426	1445	15259400	1445
02/02/2006	1441	1452	1431	1434	22798300	1434
03/02/2006	1439	1462	1431	1448	26524400	1448
06/02/2006	1447	1459	1442	1443	14299900	1443
07/02/2006	1442	1448	1431	1444	23606800	1444
08/02/2006	1445	1470	1428	1457	54678800	1457
09/02/2006	1470	1506	1465	1500	27807600	1500
10/02/2006	1493	1515	1472	1473	25731700	1473
13/02/2006	1466	1501	1466	1497	14623700	1497
14/02/2006	1498	1506	1478	1487	16326600	1487
15/02/2006	1480	1481	1461	1466	21892600	1466
16/02/2006	1461	1471	1457	1471	14491800	1471
17/02/2006	1471	1479	1459	1471	12006000	1471
20/02/2006	1470	1479	1460	1475	6949300	1475
21/02/2006	1479	1485	1467	1468	10324900	1468
22/02/2006	1464	1490	1464	1484	13056500	1484
23/02/2006	1475	1479	1465	1474	13842000	1474
24/02/2006	1473	1483	1452	1461	14672100	1461
27/02/2006	1456	1470	1444	1468	17487500	1468
28/02/2006	1462	1476	1445	1446	26051400	1446
01/03/2006	1451	1470	1447	1468	19325100	1468
02/03/2006	1464	1482	1456	1469	20523000	1469
03/03/2006	1469	1493	1467	1478	18067600	1478
06/03/2006	1480	1496	1474	1491	13375300	1491
07/03/2006	1480	1512	1475	1507	18131500	1507
08/03/2006	1507	1545	1507	1536	35125100	1536
09/03/2006	1552	1578	1546	1559	27221100	1559
10/03/2006	1552	1581	1552	1577	20466700	1577
13/03/2006	1574	1589	1562	1570	17183500	1570
14/03/2006	1567	1583	1560	1574	17756500	1574
15/03/2006	1581	1584	1557	1561	13997300	1561
16/03/2006	1551	1556	1535	1556	21587700	1556
17/03/2006	1556	1563	1537	1547	25608800	1547
20/03/2006	1544	1560	1535	1546	15759900	1546
21/03/2006	1546	1554	1522	1536	19050900	1536
22/03/2006	1543	1567	1536	1540	19127900	1540
23/03/2006	1542	1553	1522	1530	20263100	1530
24/03/2006	1527	1546	1520	1536	11740000	1536
27/03/2006	1537	1544	1524	1528	13594600	1528
28/03/2006	1525	1552	1506	1512	38304900	1512
29/03/2006	1504	1518	1493	1503	15794700	1503
30/03/2006	1505	1517	1502	1509	10181200	1509
31/03/2006	1511	1525	1496	1505	17790000	1505
03/04/2006	1506	1545	1503	1523	20322300	1523
04/04/2006	1508	1522	1491	1500	17328100	1500
05/04/2006	1500	1507	1481	1495	20666200	1495
06/04/2006	1500	1504	1477	1479	25068300	1479
07/04/2006	1473	1495	1459	1477	33871900	1477
10/04/2006	1476	1513	1476	1494	16354300	1494
