Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	935	938.5	930	932.5	53269200	653.86
04/01/2006	935	936	929.5	933	56364000	654.21
05/01/2006	934	943	931	939	91605900	658.41
06/01/2006	941.5	949	941.5	946.5	82164700	663.67
09/01/2006	952	970.5	949.5	969	123974800	679.45
10/01/2006	961	963.5	958	959	74309400	672.44
11/01/2006	963	969	960	961.5	41755300	674.19
12/01/2006	959.5	961.5	956.5	959.5	40388000	672.79
13/01/2006	958.5	959	953.5	956	17198500	670.33
16/01/2006	952.5	961.5	952.5	960	20515800	673.14
17/01/2006	951	956.5	947.5	951	38130100	666.83
18/01/2006	941	946.5	937	943	32205100	661.22
19/01/2006	953	959	951	954	26446900	668.93
20/01/2006	953.5	955	943	943	42002500	661.22
23/01/2006	933.5	933.5	922	931	54312900	652.8
24/01/2006	930.5	930.5	921	924	25885200	647.9
25/01/2006	929	929	921.5	929	23828100	651.4
26/01/2006	930.5	935.5	928	933	36000000	654.21
27/01/2006	938	942.5	936	938.5	23365700	658.06
30/01/2006	940	941	932	934	21079800	654.91
31/01/2006	933.5	941.5	930	934	34300400	654.91
01/02/2006	931.5	940.5	930.5	938	40050700	657.71
02/02/2006	939.5	941.5	929	930	43765300	652.1
03/02/2006	930.5	938	927.5	937	29198200	657.01
06/02/2006	942	946.5	940	943	27153100	661.22
07/02/2006	942	949.5	942	947	34473900	664.02
08/02/2006	943	947.5	941	946.5	25821200	663.67
09/02/2006	947	955.5	947	951	28507700	666.83
10/02/2006	948.5	950.5	940	943.5	33013200	661.57
13/02/2006	945.5	949	941.5	946.5	30752400	663.67
14/02/2006	950	959.5	948	956.5	33713500	670.68
15/02/2006	955.5	956.5	949.5	954	33570300	668.93
16/02/2006	956.5	963.5	954	963	37753800	675.24
17/02/2006	962	962.5	956.5	957	30050300	671.04
20/02/2006	957	960	953	957	15116000	671.04
21/02/2006	961.5	962	956	958.5	22119100	672.09
22/02/2006	956.5	964	953.5	962	17153200	674.54
23/02/2006	964.5	972.5	962	965	48695200	676.65
24/02/2006	969.5	982.5	969	980	50278600	687.16
27/02/2006	985	992.5	984.5	989.5	34002400	693.82
28/02/2006	993.5	994	971.5	974	52447000	682.96
01/03/2006	978	982.5	973	982	31210200	688.57
02/03/2006	980	988.5	974	979.5	44491700	686.81
03/03/2006	977	978	969	975	35421200	683.66
06/03/2006	970	998	969.5	989.5	108271200	693.82
07/03/2006	982	991	979.5	989.5	80469900	693.82
08/03/2006	984	986	978	983	42142600	689.27
09/03/2006	988	991	985.5	987	46282700	692.07
10/03/2006	985	995.5	981.5	995	35956800	697.68
13/03/2006	994	997	991.5	992.5	44355900	695.93
14/03/2006	988	991	983	984	37077900	689.97
15/03/2006	987.5	990	984	984	29228200	689.97
16/03/2006	981	983	972.5	979.5	45982700	686.81
17/03/2006	981	988	977.5	985	106717700	690.67
20/03/2006	988	988	980	981.5	37770700	688.21
21/03/2006	982.5	988	979.5	988	43031000	692.77
22/03/2006	967.5	970	963	965	34649000	698.56
23/03/2006	970	971	964.5	969.5	29729700	701.82
24/03/2006	968.5	971.5	965	966	24462800	699.29
27/03/2006	966.5	967	955	955	40235400	691.32
28/03/2006	958	961	954	955	60834700	691.32
29/03/2006	956.5	962.5	955	958	34296700	693.5
30/03/2006	961	965	959.5	963	42103500	697.12
31/03/2006	962	970.5	959.5	965	43310300	698.56
03/04/2006	977	982	975	975.5	47508300	706.16
04/04/2006	973	973	964.5	968	33742000	700.74
05/04/2006	969.5	974	961	973	33164900	704.35
06/04/2006	973.5	976	969.5	970.5	32887000	702.55
07/04/2006	972.5	976	970	970	39554300	702.18
10/04/2006	970	972.5	968	972	27096600	703.63
11/04/2006	970.5	972	962.5	963	31601400	697.12
12/04/2006	964	964	958.5	961	19022900	695.67
13/04/2006	962.5	970	962.5	966.5	23926400	699.65
