Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	1732	1747	1728	1733	5983700	1733
04/01/2006	1742	1754	1707	1712	18183600	1712
05/01/2006	1719	1728	1694	1704	4870900	1704
06/01/2006	1713	1719	1691	1700	6039000	1700
09/01/2006	1696	1715	1692	1701	4883200	1701
10/01/2006	1700	1708	1693	1699	4130700	1699
11/01/2006	1698	1702	1675	1690	6829500	1690
12/01/2006	1682	1691	1638	1658	12773500	1658
13/01/2006	1664	1685	1651	1674	8070600	1674
16/01/2006	1665	1680	1665	1679	4591000	1679
17/01/2006	1670	1700	1670	1690	6203400	1690
18/01/2006	1647	1664	1635	1655	5249900	1655
19/01/2006	1659	1659	1643	1651	5385600	1651
20/01/2006	1648	1665	1648	1659	5055900	1659
23/01/2006	1648	1653	1635	1648	3362200	1648
24/01/2006	1643	1661	1629	1658	3672800	1658
25/01/2006	1669	1675	1658	1667	4756300	1667
26/01/2006	1675	1686	1625	1633	7602200	1633
27/01/2006	1642	1657	1635	1650	5455200	1650
30/01/2006	1650	1662	1642	1657	2937800	1657
31/01/2006	1654	1694	1640	1672	9943200	1672
01/02/2006	1672	1680	1668	1676	3171000	1676
02/02/2006	1675	1685	1666	1677	3314100	1677
03/02/2006	1688	1691	1678	1691	3352800	1691
06/02/2006	1688	1688	1675	1682	18912200	1682
07/02/2006	1692	1715	1680	1702	4572800	1702
08/02/2006	1706	1721	1690	1695	5419300	1695
09/02/2006	1700	1753	1698	1751	9870100	1751
10/02/2006	1745	1752	1735	1743	3089500	1743
13/02/2006	1754	1757	1730	1739	2162800	1739
14/02/2006	1749	1769	1729	1733	3942700	1733
15/02/2006	1744	1762	1726	1752	4095100	1752
16/02/2006	1757	1763	1731	1740	3368300	1740
17/02/2006	1740	1749	1722	1727	7406400	1727
20/02/2006	1740	1740	1719	1731	1236000	1731
21/02/2006	1735	1743	1722	1727	3293900	1727
22/02/2006	1732	1734	1716	1733	3060800	1733
23/02/2006	1735	1735	1711	1714	3954600	1714
24/02/2006	1721	1721	1690	1713	2106800	1713
27/02/2006	1728	1728	1705	1713	1733500	1713
28/02/2006	1716	1731	1704	1715	6828300	1715
01/03/2006	1718	1728	1705	1713	5981400	1713
02/03/2006	1710	1730	1710	1725	5937900	1725
03/03/2006	1718	1756	1717	1756	2915000	1756
06/03/2006	1748	1767	1742	1764	8390200	1764
07/03/2006	1760	1785	1750	1784	7689600	1784
08/03/2006	1790	1807	1776	1784	10222100	1784
09/03/2006	1793	1805	1765	1785	4131500	1785
10/03/2006	1777	1799	1776	1785	2721400	1785
13/03/2006	1787	1809	1777	1805	3754700	1805
14/03/2006	1803	1810	1790	1795	3218300	1795
15/03/2006	1800	1800	1768	1775	3618400	1775
16/03/2006	1782	1791	1759	1787	1944800	1787
