Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	1666	1666	1646	1662	1744700	1428.77
04/01/2006	1672	1692	1663	1679	2263100	1443.39
05/01/2006	1681	1681	1636	1648	3123200	1416.74
06/01/2006	1658	1658	1624	1631	2382900	1402.12
09/01/2006	1604	1608	1575	1577	4075100	1355.7
10/01/2006	1583	1599	1571	1594	3434400	1370.32
11/01/2006	1600	1600	1585	1594	1695000	1370.32
12/01/2006	1588	1595	1560	1580	2419500	1358.28
13/01/2006	1585	1585	1571	1582	1094600	1360
16/01/2006	1594	1602	1575	1601	756400	1376.33
17/01/2006	1581	1605	1576	1587	2684700	1364.3
18/01/2006	1576	1585	1550	1583	2024400	1360.86
19/01/2006	1585	1632	1585	1629	4346700	1400.4
20/01/2006	1625	1668	1625	1649	4299400	1417.6
23/01/2006	1641	1651	1623	1632	1135700	1402.98
24/01/2006	1623	1638	1619	1626	1558800	1397.83
25/01/2006	1639	1673	1635	1673	2098800	1438.23
26/01/2006	1680	1686	1648	1656	2565900	1423.62
27/01/2006	1673	1674	1647	1672	2712400	1437.37
30/01/2006	1667	1668	1646	1662	2054800	1428.77
31/01/2006	1656	1688	1637	1685	1874600	1448.55
01/02/2006	1685	1755	1677	1752	5620200	1506.14
02/02/2006	1752	1752	1732	1744	3484800	1499.27
03/02/2006	1741	1755	1721	1729	1957100	1486.37
06/02/2006	1726	1736	1716	1730	1240300	1487.23
07/02/2006	1746	1755	1703	1725	2604500	1482.93
08/02/2006	1711	1746	1711	1740	2472600	1495.83
09/02/2006	1740	1765	1739	1755	2460200	1508.72
10/02/2006	1758	1791	1746	1780	2370700	1530.21
13/02/2006	1789	1789	1754	1768	2907700	1519.9
14/02/2006	1782	1815	1782	1815	2992000	1560.3
15/02/2006	1817	1826	1801	1818	1247100	1562.88
16/02/2006	1823	1823	1797	1809	1562700	1555.14
17/02/2006	1809	1809	1795	1799	1170600	1546.55
20/02/2006	1808	1824	1791	1815	1031900	1560.3
21/02/2006	1831	1838	1806	1819	1882400	1563.74
22/02/2006	1801	1836	1801	1835	1697300	1577.5
23/02/2006	1841	1847	1825	1835	1989900	1577.5
24/02/2006	1845	1846	1822	1842	3710900	1583.51
27/02/2006	1849	1882	1842	1877	2877900	1613.6
28/02/2006	1870	1903	1838	1841	2723400	1582.65
01/03/2006	1857	1873	1840	1872	1915900	1609.3
02/03/2006	1869	1896	1867	1877	2250400	1613.6
03/03/2006	1871	1884	1838	1864	1732000	1602.43
06/03/2006	1864	1904	1856	1883	1947600	1618.76
07/03/2006	1872	1877	1812	1842	3362400	1583.51
08/03/2006	1842	1843	1804	1805	3746800	1551.71
09/03/2006	1821	1822	1807	1811	1476100	1556.86
10/03/2006	1811	1825	1804	1809	2314500	1555.14
13/03/2006	1811	1832	1811	1814	2578500	1559.44
14/03/2006	1805	1837	1805	1834	2086400	1576.64
15/03/2006	1835	1864	1835	1850	1870400	1590.39
16/03/2006	1851	1869	1849	1868	1542000	1605.87
17/03/2006	1875	1889	1870	1884	2887300	1619.62
20/03/2006	1887	1893	1840	1847	4781900	1587.81
21/03/2006	1853	1853	1824	1843	1709400	1584.37
22/03/2006	1844	2080	1840	2080	13696000	1788.12
23/03/2006	2105	2149	1987	2000	9566300	1719.34
24/03/2006	2001	2016	1970	1989	5814600	1709.89
27/03/2006	1989	1995	1938	1948	3433700	1674.64
28/03/2006	1957	1970	1910	1914	4031400	1645.41
29/03/2006	1919	1949	1887	1924	3832000	1654.01
30/03/2006	1923	1955	1923	1948	1867000	1674.64
31/03/2006	1953	1958	1923	1928	2012300	1657.45
03/04/2006	1928	1954	1921	1930	2346800	1659.17
04/04/2006	1933	1933	1910	1916	3731600	1647.13
05/04/2006	1925	1932	1905	1912	1708600	1643.69
06/04/2006	1919	1920	1856	1910	2698300	1641.97
07/04/2006	1910	1923	1908	1912	3845000	1643.69
10/04/2006	1903	1919	1894	1911	2337000	1642.83
11/04/2006	1916	1916	1846	1853	3535300	1592.97
12/04/2006	1843	1857	1813	1847	4834900	1587.81
