Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	491	494.5	486.5	489.75	40324200	489.75
04/01/2006	492.75	493.5	489.75	492.75	18210000	492.75
05/01/2006	493.5	496.5	488.5	492.5	35680300	492.5
06/01/2006	493.5	498	492.75	497.75	26571800	497.75
09/01/2006	498	500	495.25	499.75	28637200	499.75
10/01/2006	498.75	498.75	494	495.5	22574400	495.5
11/01/2006	497	505.75	497	505	63560000	505
12/01/2006	514	519	511	511	85568000	511
13/01/2006	511	516.25	507	512.25	37430700	512.25
16/01/2006	510.25	514.5	509	511.5	15005400	511.5
17/01/2006	509.5	510.75	507	507.25	26463600	507.25
18/01/2006	503	507.5	500.5	502.75	41359300	502.75
19/01/2006	507.75	522	507	516	62854600	516
20/01/2006	518	521	510	511.25	48932400	511.25
23/01/2006	508	517	506.25	515	34551900	515
24/01/2006	515	516	505	506.5	30949000	506.5
25/01/2006	507	509.5	503.5	508	47402800	508
26/01/2006	510	515	508.5	510.75	47349800	510.75
27/01/2006	516	519	511.75	516.5	65081900	516.5
30/01/2006	517.5	518	509.75	511.25	39301700	511.25
31/01/2006	510	512	508.25	509.5	40213400	509.5
01/02/2006	514.5	555	509.5	535	193432800	535
02/02/2006	535	535	523.5	525.25	67496200	525.25
03/02/2006	525.5	531.75	520.75	521	66958500	521
06/02/2006	533	539.5	525.5	525.5	68984200	525.5
07/02/2006	524.25	527.25	521	524	37225700	524
08/02/2006	521.75	544.5	520.5	533	91679300	533
09/02/2006	536.75	557	533	549	79541400	549
10/02/2006	547.5	554.75	543.25	549	45728000	549
13/02/2006	550	559.5	548.5	552	53649300	552
14/02/2006	554	557.5	542.75	550	39821600	550
15/02/2006	550	552.25	544	548	26223500	548
16/02/2006	550	551.75	544	546.75	27800800	546.75
17/02/2006	547	558	544.5	546.75	41235000	546.75
20/02/2006	547	547.25	541	546.75	18563900	546.75
21/02/2006	547	549.75	542.5	546.5	26329600	546.5
22/02/2006	545.5	547	542.25	545	23284900	545
23/02/2006	546	550	540	541	30969900	541
24/02/2006	556.5	572.5	553.25	566.5	197709200	566.5
27/02/2006	570	573.5	565	565	33094600	565
28/02/2006	567	567.25	551.5	553.75	58237100	553.75
01/03/2006	554	555.25	549.25	554.5	22133600	554.5
02/03/2006	554.5	557	548.5	551.75	35646200	551.75
03/03/2006	550	552.5	542.75	545.5	25781200	545.5
06/03/2006	548.25	551.75	545.5	547	82471600	547
07/03/2006	546.25	547.5	539	543.25	60286500	543.25
08/03/2006	522	526.75	513.5	521.75	33141600	521.75
09/03/2006	522.5	535.5	519.5	531	42085200	531
10/03/2006	531.5	542	531	535.5	30809800	535.5
13/03/2006	539	543.5	534.5	541.75	31981500	541.75
14/03/2006	541.5	546.75	537.5	540	27479400	540
15/03/2006	542	543.5	536.5	538.75	22604900	538.75
16/03/2006	539.5	549.75	536.25	545	41104300	545
17/03/2006	550	558	548.25	551	47917000	551
20/03/2006	556	572	556	558	68724100	558
21/03/2006	561	561	553.5	560	42615200	560
22/03/2006	558.5	583	554	573.5	102541900	573.5
23/03/2006	575	581.5	565	568	37827200	568
24/03/2006	568	571	563.5	569	46173000	569
27/03/2006	566.5	571.5	562	562	24364600	562
28/03/2006	565	565	551.5	555	50663400	555
29/03/2006	554	559	550.5	552	21093200	552
30/03/2006	557	560	551	556	18822700	556
31/03/2006	557	557	548.5	550.5	25741400	550.5
03/04/2006	554.5	558	550.5	552	31612400	552
04/04/2006	552	552	543	545.5	39100800	545.5
05/04/2006	547	550	541.5	544	85324100	544
06/04/2006	546	550.5	540.5	549	27299700	549
07/04/2006	550	552	538.5	540	32742500	540
10/04/2006	542	542	532.5	536.5	37337400	536.5
11/04/2006	534.5	536	527	530	47379900	530
12/04/2006	532	532	520.5	524.5	36945800	524.5
13/04/2006	526	528	518	525	39543400	525
14/04/2006	525	525	525	525	0	525
17/04/2006	525	525	525	525	0	525
18/04/2006	523	526.5	519	524	50698500	524
19/04/2006	530	532	525.5	527.5	67561600	527.5
20/04/2006	528	533	523.5	526.5	62437800	526.5
21/04/2006	528.5	533	527	530.5	73313400	530.5
24/04/2006	526	527.5	521	522	27818000	522
25/04/2006	523.5	533	523	524	33242800	524
26/04/2006	527	535	526	532	60114700	532
27/04/2006	536	539.5	529.5	533	38562300	533
28/04/2006	533	542.5	532.5	533.5	24424600	533.5
01/05/2006	533.5	533.5	533.5	533.5	0	533.5
02/05/2006	533	536	529	534	43391600	534
03/05/2006	533	538	530.5	532.5	39449900	532.5
04/05/2006	533.5	535.5	528.5	531	76563200	531
05/05/2006	537	540	532.5	536.5	55010900	536.5
