Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	575.5	578	568.5	569	17852300	536.01
04/01/2006	572	572	567	569	9832400	536.01
05/01/2006	571.5	571.5	563.5	565.5	17284900	532.71
06/01/2006	568.5	569	560.5	563	11024300	530.35
09/01/2006	565	565	554	554.5	22532000	522.35
10/01/2006	555.5	562	548	554	32243500	521.88
11/01/2006	559	560.5	553.5	557.5	11592500	525.17
12/01/2006	559.5	561.5	555.5	558.5	10436700	526.12
13/01/2006	558.5	560	548.5	551	10934700	519.05
16/01/2006	551	559	550.5	557.5	10684400	525.17
17/01/2006	558	565	556	564	14775600	531.3
18/01/2006	560.5	572	560	569.5	13050200	536.48
19/01/2006	572	574.5	567.5	571	10302200	537.89
20/01/2006	570	573	563.5	566	6570500	533.18
23/01/2006	560	567.5	555.5	562	7202300	529.41
24/01/2006	567	567	562	562	5913000	529.41
25/01/2006	566	569	560	568	6338100	535.06
26/01/2006	571	574	563.5	564.5	12192100	531.77
27/01/2006	566	566.5	560	564	6280100	531.3
30/01/2006	568	579.5	565	577.5	11336900	544.01
31/01/2006	577.5	578	572	575.5	8166400	542.13
01/02/2006	577	581	571	578	8854600	544.49
02/02/2006	582	590	578	581.5	8948400	547.78
03/02/2006	585.5	592	583.5	589	15058000	554.85
06/02/2006	588.5	597	580.5	582	13846500	548.25
07/02/2006	582	584.5	577	582	9452600	548.25
08/02/2006	584	602	574.5	591	30007000	556.73
09/02/2006	590	595	584	593	17082000	558.62
10/02/2006	593	593	581	585	18477500	551.08
13/02/2006	588	588.5	581	587.5	13904000	553.43
14/02/2006	590	590	579.5	582.5	19084500	548.72
15/02/2006	585	590	583.5	587	22095600	552.96
16/02/2006	589.5	590	579.5	588	12529200	553.91
17/02/2006	591	591.5	576	578.5	16273500	544.96
20/02/2006	577	581	575	579	8963800	545.43
21/02/2006	575.5	592	575.5	586	37962700	552.02
22/02/2006	587	607.5	583	598.5	27415800	563.8
23/02/2006	600.5	600.5	595	597.5	7505200	562.85
24/02/2006	597.5	619	597	613.5	38899400	577.93
27/02/2006	617	627.5	609	610	12836600	574.63
28/02/2006	608.5	610.5	599.5	600	21621500	565.21
01/03/2006	601	602	595	599	9145700	564.27
02/03/2006	596.5	606.5	596.5	599.5	15084000	564.74
03/03/2006	597.5	599.5	591.5	592	7421400	557.67
06/03/2006	595	599	593.5	596.5	7701300	561.91
07/03/2006	593.5	595.5	587	594	13947700	559.56
08/03/2006	594	599.5	587.5	590	12768700	555.79
09/03/2006	591	597	589.5	592	8819500	557.67
10/03/2006	589	597.5	586	597.5	6248700	562.85
13/03/2006	600	605	595.5	603	8271300	568.04
14/03/2006	600.5	602.5	594	598	5914300	563.33
15/03/2006	597	616	596.5	603.5	17693200	568.51
16/03/2006	605	605	597	600	7092500	565.21
17/03/2006	600	606	597.5	598.5	13858900	563.8
20/03/2006	600	600.5	593.5	597	9624600	562.38
21/03/2006	599	599	590.5	596	10286300	561.44
22/03/2006	595	596	588.5	590	8357300	555.79
23/03/2006	593	593	581.5	584.5	12405300	550.61
24/03/2006	587.5	588	579.5	585.5	9098600	551.55
27/03/2006	587.5	587.5	580.5	582.5	7461000	548.72
28/03/2006	582.5	586	567.5	570	24545400	536.95
29/03/2006	570	577.5	564.5	572	27528300	538.83
30/03/2006	580	583	574.5	577	19519500	543.54
31/03/2006	573.5	580.5	568	572.5	12568200	539.3
03/04/2006	585.5	585.5	572.5	575.5	10860500	542.13
04/04/2006	575.5	579.5	573.5	575.5	9793200	542.13
05/04/2006	577.5	577.5	565	572	13499800	538.83
06/04/2006	572	582	570	578.5	11341700	544.96
07/04/2006	577	581.5	565.5	567.5	13380500	534.59
10/04/2006	569.5	569.5	563	568	9029400	535.06
11/04/2006	570.5	570.5	560.5	561.5	12310900	528.94
12/04/2006	563.5	563.5	554	557.5	7435700	525.17
13/04/2006	557.5	560.5	553	556.5	8877100	524.23
14/04/2006	556.5	556.5	556.5	556.5	0	524.23
17/04/2006	556.5	556.5	556.5	556.5	0	524.23
18/04/2006	562.5	565	554.5	559	8862200	526.59
19/04/2006	566	576	566	570.5	18434200	537.42
20/04/2006	569.5	576.5	567	571	12675000	537.89
21/04/2006	573	586.5	570	577	18286600	543.54
24/04/2006	572.5	578.5	571	576.5	6890000	543.07
25/04/2006	579	581	573.5	577.5	6631400	544.01
26/04/2006	580.5	582.5	573.5	575	6264200	541.66
27/04/2006	577	578.5	565	575	10865800	541.66
28/04/2006	575	580	572	575.5	10862100	542.13
01/05/2006	575.5	575.5	575.5	575.5	0	542.13
02/05/2006	573	578.5	570	577	7658700	543.54
03/05/2006	579	579.5	571	571.5	8282500	538.36
04/05/2006	570	578	569.5	575.5	5509900	542.13
05/05/2006	574	575	562.5	567	11790600	534.12
08/05/2006	571	573.5	565.5	570	15361100	536.95
09/05/2006	572	572	562.5	569	18880000	536.01
10/05/2006	570	579	569	571	17780700	537.89
11/05/2006	569.5	572	553.5	557	11448500	524.7
12/05/2006	557	557	547	552	19464800	519.99
15/05/2006	550.5	564.31	539.58	560.5	12623300	528
16/05/2006	560.5	571	558	568	11606800	535.06
17/05/2006	566.5	570.5	558.5	559	19602800	526.59
18/05/2006	561.5	570.27	552.65	569	19184000	536.01
19/05/2006	565	575.6	565	569.5	11501600	536.48
22/05/2006	568	576.5	559.73	569.5	7237900	536.48
23/05/2006	569.5	584.61	565.15	584	15784500	550.14
24/05/2006	581.5	587	574.5	580.5	12100100	546.84
25/05/2006	579	596.63	581.92	591.5	15204200	557.2
26/05/2006	596	604	590.5	604	14169400	568.98
29/05/2006	604	604	604	604	0	568.98
30/05/2006	604	604	594	594.5	19223300	560.03
31/05/2006	590.5	611.08	589.1	606.5	14470800	571.33
01/06/2006	604.5	609.61	595.73	608	13543400	572.75
02/06/2006	610.5	614.5	603	606.5	20565900	571.33
05/06/2006	606.5	615.23	601.38	611	7749500	575.57
06/06/2006	608.5	616.87	602.92	615	21233100	579.34
07/06/2006	605	615	595.63	599.5	18293600	564.74
08/06/2006	588	603.1	586	594.5	16521100	560.03
09/06/2006	594.5	613.39	587.63	594.5	16658200	560.03
12/06/2006	594.5	597.5	589	590.5	8287500	556.26
13/06/2006	585.5	586.78	577.1	584	15484900	550.14
14/06/2006	584.5	590	578.5	588	11474100	553.91
15/06/2006	588	599.5	587.69	598	39295900	563.33
16/06/2006	603	606	598.5	600	32244000	565.21
19/06/2006	607.5	611	598.23	600	12198100	565.21
20/06/2006	598	605	595.5	604	11412100	568.98
21/06/2006	606.5	610.77	598.32	608.5	8457200	573.22
22/06/2006	612	613.46	600.8	602.5	19004500	567.56
23/06/2006	601	616	597.46	600	12510800	565.21
26/06/2006	597	596.98	578.93	596.5	25639400	561.91
27/06/2006	599	599.34	588	588	16786000	553.91
28/06/2006	587	595.8	585.69	586	15338800	552.02
29/06/2006	588	590.5	586	587	14295800	552.96
30/06/2006	583	588.5	576.5	585	24996500	551.08
03/07/2006	585.5	590.5	585	589	11740900	554.85
04/07/2006	590	591.5	584	588.5	7740600	554.38
05/07/2006	588	590.5	583	587	12560800	552.96
06/07/2006	587	595	587	594	21361900	559.56
07/07/2006	594	600	591.5	597.5	12072900	562.85
10/07/2006	600	600	595	598.5	5747900	563.8
11/07/2006	597.5	601	590.5	592.5	11639400	558.14
12/07/2006	594	597.5	585.5	588	8086400	553.91
13/07/2006	586.5	594	583	590	15940400	555.79
14/07/2006	586	593.5	585	588	7991500	553.91
17/07/2006	588	590.5	582	588	7032200	553.91
18/07/2006	585	595	585	594	11177300	559.56
19/07/2006	598.5	599.5	586.5	595.5	11894300	560.97
20/07/2006	595.5	598.5	587	591	6908100	556.73
21/07/2006	590	597	587	593.5	8982800	559.09
24/07/2006	596	605.5	595	602	9869300	567.09
25/07/2006	603.5	606.5	599.5	602	14612300	567.09
26/07/2006	601.5	602.5	597.5	599	9712400	564.27
27/07/2006	602	606.5	598	603	11994400	568.04
28/07/2006	598.5	614.5	598.5	612.5	11611100	576.98
31/07/2006	615	615	607.5	609.5	8842500	574.16
01/08/2006	612	613	602	603	8079500	568.04
02/08/2006	605.5	610	601.5	606	14269000	570.86
03/08/2006	606	606	606	606	0	570.86
04/08/2006	604.5	611	600	610	9522500	574.63
07/08/2006	606	614	604	610.5	6959200	575.1
08/08/2006	612	615.5	609	614	12658100	578.4
09/08/2006	616	621.5	614.5	620	12524800	584.05
10/08/2006	612	627	611.5	623.5	15431800	587.35
11/08/2006	622.5	628.5	619	628	8455500	591.59
14/08/2006	630	639.5	627.5	637.5	17456300	600.54
15/08/2006	633	641	629.5	639	13189400	601.95
16/08/2006	640	640	627	631.5	12324200	594.88
17/08/2006	634.5	635.5	626	629.5	7488500	593
18/08/2006	628	635	624.5	631	8898300	594.41
21/08/2006	632	638	629.5	635	8317000	598.18
22/08/2006	638.5	641.5	628.5	631.5	10308700	594.88
23/08/2006	635	638	629.5	631.5	8157800	594.88
24/08/2006	635	640	630.5	638.5	9005300	601.48
25/08/2006	637.5	642	633.5	636	7858800	599.12
28/08/2006	636	636	636	636	0	599.12
29/08/2006	639	646.5	637.5	643.5	9883300	606.19
30/08/2006	645.5	645.5	640	641.5	10684600	604.3
31/08/2006	640	644	636.5	638	9234600	601.01
01/09/2006	641.5	648.5	638	643	7657100	605.72
04/09/2006	645.5	646	641	644.5	4884400	607.13
05/09/2006	646.5	646.5	640	645.5	12176700	608.07
06/09/2006	643.5	644	639.5	641	7856200	603.83
07/09/2006	640.5	640.5	632.5	634.5	18160900	597.71
08/09/2006	636.5	641	634	639	7838600	601.95
11/09/2006	639.5	642	633.5	637.5	6327100	600.54
12/09/2006	636.5	646	635.5	645	11868500	607.6
13/09/2006	643	646.5	638.5	644	8580300	606.66
14/09/2006	646.5	650	643.5	645	16066100	607.6
15/09/2006	647	651	644.5	649.5	10451500	611.84
18/09/2006	648.5	651	644	648	7242700	610.43
19/09/2006	646	650	643	647	7576600	609.48
20/09/2006	649	653	645	651	13574100	613.25
21/09/2006	653	654.5	648.5	652.5	8165300	614.67
22/09/2006	649.5	651	647	648.5	9355400	610.9
25/09/2006	648	652	646	650	16361900	612.31
26/09/2006	652	662	648	660.5	17661300	622.2
27/09/2006	662	670	660.5	668	12844100	629.27
28/09/2006	666	673.5	663	672	12603700	633.03
29/09/2006	671	675	667.5	667.5	10925600	628.8
02/10/2006	668	680	668	678	14209400	638.69
03/10/2006	677.5	679	670	677	14196900	637.74
04/10/2006	679.5	679.5	673.5	676	9918100	636.8
05/10/2006	677	678.5	670.5	675	15364600	635.86
06/10/2006	677	692.5	673.5	685.5	22093400	645.75
09/10/2006	686	688.5	676.5	680	11097300	640.57
11/10/2006	682	683.5	678	680.5	11892800	641.04
12/10/2006	683	686.5	679.5	684	7307800	644.34
13/10/2006	685.5	689	682	685	8196900	645.28
16/10/2006	685	690	683	686	7329500	646.22
17/10/2006	687	694	685	685.5	14512600	645.75
18/10/2006	687	689.5	672.5	674.5	64960100	635.39
19/10/2006	674	676	671.5	674	5127400	634.92
20/10/2006	673	677.5	646.5	676.5	8096900	637.27
23/10/2006	676	677.5	670	670.5	6082800	631.62
24/10/2006	668.5	674.5	666.5	673	6187000	633.98
25/10/2006	671.5	676.5	671.5	673	4993500	633.98
26/10/2006	675.5	676.5	668	669	4203700	630.21
27/10/2006	671.5	675.5	666	673.5	6153400	634.45
30/10/2006	701	713	667	672	8679900	633.03
31/10/2006	670	673.5	663.5	670	15070500	631.15
01/11/2006	672.5	672.5	665	669	17163800	630.21
02/11/2006	669	672.5	663	670	31572400	631.15
03/11/2006	672	673	664.5	664.5	11409100	625.97
06/11/2006	669.5	671.5	664.5	670	7926900	631.15
07/11/2006	668	673	665	672	15435800	633.03
08/11/2006	672	694.5	672	686.5	20739300	646.69
09/11/2006	689	690.5	683.5	688	61082200	648.11
10/11/2006	689	690.5	684.5	686	15737700	646.22
13/11/2006	687.5	697.5	686.5	690.5	9245700	650.46
14/11/2006	690	696	687.5	695	11874500	654.7
15/11/2006	698.5	701.5	694.5	699	12808000	658.47
16/11/2006	716	747.5	716	746.5	29904400	703.21
17/11/2006	746	746	719	723	16233200	681.08
20/11/2006	716	727	716	724	15485700	682.02
21/11/2006	721	734	721	723	18706300	681.08
22/11/2006	722	727	714.5	717.5	25452300	675.9
23/11/2006	721.5	723	705	714	10394200	672.6
24/11/2006	715.5	725.5	707.5	721.5	5774300	679.66
27/11/2006	714.5	726	711.5	711.5	12855400	670.24
28/11/2006	714	714	703.5	705	15392100	664.12
29/11/2006	699	710	693	702	17903500	661.3
30/11/2006	699.5	702	686	687.5	24190600	647.64
01/12/2006	694	705	692	701.5	27863300	660.82
04/12/2006	705.5	712	702.5	708.5	14404400	667.42
05/12/2006	708	718.5	707.5	715.5	11631400	674.01
06/12/2006	720.5	724	713	717	9657100	675.43
07/12/2006	715	727	714	724.5	7715000	682.49
