Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	551	560	548.5	559.5	22352900	492.29
04/01/2006	569	576.5	561	572	28213300	503.29
05/01/2006	571	574	567.5	568	19916700	499.77
06/01/2006	566.5	578.5	563	578	19388400	508.56
09/01/2006	579	579.5	569.5	573.5	9812400	504.61
10/01/2006	568.5	570.5	558.5	561	16944900	493.61
11/01/2006	566.5	570	562.5	566.5	19586800	498.45
12/01/2006	570.5	570.5	558	559	17103000	491.85
13/01/2006	560	564.5	554	561	13769100	493.61
16/01/2006	558	575.5	557	575	15442300	505.92
17/01/2006	575	575	564	564	20639400	496.25
18/01/2006	558	558.5	549	551.5	15705000	485.25
19/01/2006	557.5	563.5	555	561.5	14315000	494.05
20/01/2006	560	567	551	556	11661700	489.21
23/01/2006	553	556.5	545.5	555.5	7988800	488.77
24/01/2006	555.5	560	547.5	550.5	12938700	484.37
25/01/2006	552	557	544	553	15321200	486.57
26/01/2006	554	576.5	548.5	576	44060300	506.8
27/01/2006	578	583	569	577	31411500	507.68
30/01/2006	575	576.5	569	570	8340700	501.53
31/01/2006	572.5	574.5	567	570	9942100	501.53
01/02/2006	571.5	579	564	575	19536300	505.92
02/02/2006	578	580	566	567.5	11762200	499.33
03/02/2006	571	573	558.5	568	7244900	499.77
06/02/2006	572.5	573	564.5	567	5543300	498.89
07/02/2006	571	573.5	560.5	564.5	10590800	496.69
08/02/2006	564.5	567	555	565	8818500	497.13
09/02/2006	569	577	566.5	576	20514500	506.8
10/02/2006	575	600	573.5	591	35864700	520
13/02/2006	591.5	599.5	590.5	598	14825400	526.16
14/02/2006	598.5	608.5	598.5	606.5	20686900	533.64
15/02/2006	611	611	596	600.5	9782100	528.36
16/02/2006	599.5	609.5	599.5	605	5836100	532.32
17/02/2006	603	611	602.5	608	8855600	534.96
20/02/2006	606	613.5	602.5	605	5748900	532.32
21/02/2006	610	623.5	610	617.5	11738800	543.32
22/02/2006	616	621.5	609.5	616.5	11583000	542.44
23/02/2006	619	625	613.5	615.5	10152900	541.56
24/02/2006	618.5	620	613	616	9543100	542
27/02/2006	616.5	625	616.5	622.5	9841600	547.72
28/02/2006	623	629.5	598.5	603	22680100	530.56
01/03/2006	604.5	616.5	600.5	607	16680100	534.08
02/03/2006	610	619	596	602.5	16778800	530.12
03/03/2006	600.5	605	588	592.5	13603500	521.32
06/03/2006	596	600	591	595	18559000	523.52
07/03/2006	590	592	580.5	585.5	12175600	515.16
08/03/2006	585.5	587	573.5	576	11605300	506.8
09/03/2006	580	585	575	582.5	16869600	512.52
10/03/2006	583	600	583	595.5	25984800	523.96
13/03/2006	598	607.5	596	601	17907400	528.8
14/03/2006	598	613.5	598	599.5	15472800	527.48
15/03/2006	602.5	615	601.5	605	24527000	532.32
16/03/2006	612	633.5	610	627.5	35233700	552.12
17/03/2006	641	675	641	672	81226200	591.27
20/03/2006	740	763	735	743.5	123262600	654.18
21/03/2006	737.5	752	735	741.5	35464200	652.42
22/03/2006	733	733	707	720.5	34825600	643.51
23/03/2006	724	749	712	715.5	34831200	639.04
24/03/2006	716.5	724	663	681	79676600	608.23
27/03/2006	685	691	671.5	672	20223500	600.19
28/03/2006	671.5	677.5	656.5	664	23200300	593.05
29/03/2006	661	670	659.5	667	11710000	595.73
30/03/2006	670.5	678	661	673	15148000	601.09
31/03/2006	674.5	675	665.5	667.5	12069000	596.17
03/04/2006	667.5	694	667	672.5	10237400	600.64
04/04/2006	675.5	681	662.5	665	16418900	593.94
05/04/2006	667	672	647.5	651.5	17359000	581.88
06/04/2006	652.5	702	652.5	677.5	30916500	605.1
07/04/2006	678	689	669	672.5	18171900	600.64
10/04/2006	672	672	660.5	667.5	9698500	596.17
11/04/2006	659.5	665	652	654	13946600	584.12
12/04/2006	659	661	645	659	14658800	588.58
13/04/2006	656.5	667	651	659	5717900	588.58
14/04/2006	659	659	659	659	0	588.58
17/04/2006	659	659	659	659	0	588.58
18/04/2006	657.5	663.5	652	654	8947400	584.12
19/04/2006	661	675	660.5	668.5	15171400	597.07
20/04/2006	677	678	662	665	18083900	593.94
21/04/2006	669	672	655	657	20949700	586.8
24/04/2006	657	658	637.5	637.5	35286100	569.38
25/04/2006	641.5	655	640	646.5	23846200	577.42
26/04/2006	649	656.5	641.5	654.5	17913800	584.56
27/04/2006	655.5	658.5	642	648.5	24118700	579.2
28/04/2006	649.5	650.5	641	643.5	11476700	574.74
01/05/2006	643.5	643.5	643.5	643.5	0	574.74
02/05/2006	643	654	642	651	10303500	581.44
03/05/2006	653	658	643.5	647	12920600	577.86
04/05/2006	647	650.5	641.5	644	14699200	575.18
05/05/2006	647	656.5	645	655	7432700	585.01
08/05/2006	659.5	664.5	649.5	652	14194600	582.33
09/05/2006	653.5	660	645	652	13095300	582.33
10/05/2006	651	668	641.5	660	26317400	589.47
11/05/2006	660	674	646	646	14226000	576.97
12/05/2006	645	646	624	628	13073200	560.89
15/05/2006	631	632.5	603.23	626.5	14896700	559.55
16/05/2006	629.5	634.66	621.3	630	10364000	562.68
17/05/2006	629	634.92	606	606	18017400	541.24
18/05/2006	612	614.5	590.34	598.5	19049700	534.55
19/05/2006	599	610.92	595.55	600.5	12986100	536.33
22/05/2006	602	601.2	572.96	574.5	16031600	513.11
23/05/2006	574.5	599	574.69	592.5	21837500	529.19
24/05/2006	587.5	592.5	577	583.5	12401300	521.15
25/05/2006	588.5	593.42	579.42	592.5	6471600	529.19
26/05/2006	596	602.5	593.46	602.5	12584100	538.12
29/05/2006	602.5	602.5	602.5	602.5	0	538.12
30/05/2006	598	601.5	573.5	576.5	14129400	514.9
31/05/2006	575	589.11	566.92	583	22566200	520.7
01/06/2006	583	588.5	576	583	21736800	520.7
02/06/2006	589	595.8	582.46	585	16133900	522.49
05/06/2006	587	590	576.5	576.5	7771000	514.9
06/06/2006	569.5	573	557.39	562	14745600	501.95
07/06/2006	562.5	572.5	560	572	12727400	510.88
08/06/2006	555	570.5	552.5	552.5	16318400	493.46
09/06/2006	557	568.5	556	566.5	12111800	505.97
12/06/2006	566	568.5	553	556.5	6462100	497.03
13/06/2006	545	554	528.3	538.5	19581100	480.96
14/06/2006	538	546.5	527.8	540	12605100	482.3
15/06/2006	544.5	564.5	544	562	15348600	501.95
16/06/2006	570	572.91	548.25	548.5	25685000	489.89
19/06/2006	555.5	568	553	566	16615500	505.52
20/06/2006	562.5	573.5	559	570	19805100	509.09
21/06/2006	572.5	575.39	566.09	569	13403600	508.2
22/06/2006	575	675.64	555.15	561	14318300	501.05
23/06/2006	558.5	565.62	551.48	557	14500200	497.48
26/06/2006	560.5	567	554.9	564	21182500	503.73
27/06/2006	568.5	575	566	567	11880300	506.41
28/06/2006	566.5	580.5	562	574.5	16069500	513.11
29/06/2006	579	594	578.5	591.5	17293700	528.29
30/06/2006	596	625	592	611	24052500	545.71
03/07/2006	610	614	603.5	607.5	14326700	542.58
