Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	1869	1919	1869	1917	14102777	1917
04/01/2006	1921	1936	1919	1921	9800233	1921
05/01/2006	1930	1940	1912	1913	6514272	1913
06/01/2006	1911	1940	1911	1935	9610009	1935
09/01/2006	1938	1958	1927	1933	8300355	1933
10/01/2006	1926	1934	1917	1928	8361461	1928
11/01/2006	1929	1942	1922	1937	5133719	1937
12/01/2006	1946	1951	1936	1945	6177858	1945
13/01/2006	1930	1937	1917	1929	6118532	1929
16/01/2006	1930	1956	1930	1952	4245008	1952
17/01/2006	1947	1959	1935	1943	9170843	1943
18/01/2006	1942	1951	1934	1941	8211766	1941
19/01/2006	1938	1940	1919	1920	7635790	1920
20/01/2006	1932	1951	1923	1923	6779756	1923
23/01/2006	1919	1935	1915	1930	5832502	1930
24/01/2006	1930	1942	1912	1913	5731171	1913
25/01/2006	1921	1930	1906	1926	6758169	1926
26/01/2006	1918	1933	1912	1928	7939515	1928
27/01/2006	1935	1973	1935	1960	9542952	1960
30/01/2006	1960	2016	1960	2002	13408984	2002
31/01/2006	2014	2046	2009	2016	11334273	2016
01/02/2006	2010	2020	1998	2005	7551849	2005
02/02/2006	1977	1985	1948	1956	13769923	1956
03/02/2006	1949	1953	1920	1933	21742600	1933
06/02/2006	1934	1948	1930	1939	12622363	1939
07/02/2006	1935	1942	1909	1913	18409128	1913
08/02/2006	1885	1893	1866	1875	13732548	1875
09/02/2006	1884	1899	1882	1890	10920703	1890
10/02/2006	1884	1893	1867	1875	14220537	1875
13/02/2006	1880	1885	1867	1880	5336600	1880
14/02/2006	1884	1887	1865	1868	9804294	1868
15/02/2006	1871	1891	1858	1870	15111278	1870
16/02/2006	1867	1872	1859	1867	11832977	1867
17/02/2006	1868	1890	1865	1873	9720415	1873
20/02/2006	1869	1894	1869	1888	4673497	1888
21/02/2006	1890	1895	1864	1868	10778688	1868
22/02/2006	1867	1872	1840	1845	10952378	1845
23/02/2006	1850	1854	1818	1822	10550571	1822
24/02/2006	1830	1839	1818	1827	9233358	1827
27/02/2006	1806	1844	1806	1827	7066581	1827
28/02/2006	1825	1826	1792	1795	10757076	1795
01/03/2006	1797	1841	1795	1839	8663907	1839
02/03/2006	1842	1856	1820	1827	18551077	1827
03/03/2006	1840	1857	1824	1840	11254719	1840
06/03/2006	1853	1855	1820	1825	9135722	1825
07/03/2006	1820	1829	1810	1819	9279577	1819
08/03/2006	1823	1842	1808	1833	14475640	1833
09/03/2006	1842	1846	1823	1834	7807500	1834
10/03/2006	1830	1851	1818	1849	7260035	1849
