Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	430	438	429.25	434.5	13368000	434.5
04/01/2006	436.75	442.25	435.5	441.5	21536400	441.5
05/01/2006	442.5	442.5	438.5	439.5	13692300	439.5
06/01/2006	440	444.25	440	443	10768400	443
09/01/2006	444	444.25	431	434	14669100	434
10/01/2006	433.25	434.75	425	426	25955900	426
11/01/2006	425.5	429.5	423.5	427	26492500	427
12/01/2006	429	431.5	420	427.75	34540400	427.75
13/01/2006	429.5	429.5	422.75	425.5	13277400	425.5
16/01/2006	423.25	429	423.25	427.5	8051600	427.5
17/01/2006	424.25	427	419.5	422.5	14530900	422.5
18/01/2006	418	423	413.5	422	19020100	422
19/01/2006	422.5	425	420	420	23560900	420
20/01/2006	419	426.5	419	421	14310300	421
23/01/2006	418.5	418.5	412.25	415	17981700	415
24/01/2006	415.75	419	414.5	416.25	22307800	416.25
25/01/2006	416.25	421	416.25	419.75	13704700	419.75
26/01/2006	420	425.5	419.75	425.5	30184800	425.5
27/01/2006	428	436.5	427.25	434.75	22986200	434.75
30/01/2006	436.5	438.5	430	431.25	11993000	431.25
31/01/2006	431	435.5	428.25	434	22510200	434
01/02/2006	435	436.25	429.75	433	35592400	433
02/02/2006	433	437	428.5	430	24771900	430
03/02/2006	432.25	444.75	429.75	444.75	21113700	444.75
06/02/2006	444.25	447.5	440	443.25	16028300	443.25
07/02/2006	442	444.25	438	443	15527900	443
08/02/2006	441.75	450	439.25	443.5	18806900	443.5
09/02/2006	445	446.5	427.75	431.5	78736900	431.5
10/02/2006	429.75	430.25	422.5	423.5	36648700	423.5
13/02/2006	425.5	428.75	421.75	427.5	19122300	427.5
14/02/2006	431	439.25	429.25	439	39385400	439
15/02/2006	439.25	445	439.25	442	16286300	442
16/02/2006	446.25	454.5	444	454.5	30591000	454.5
17/02/2006	454.5	463.25	454.5	460.5	12477600	460.5
20/02/2006	464.75	464.75	455	458.5	6657400	458.5
21/02/2006	455.5	455.5	449.25	450	17902100	450
22/02/2006	449	459	442.25	458.75	22913000	458.75
23/02/2006	458	465	446	448	33390100	448
24/02/2006	449.5	451.25	444.75	446	26935900	446
27/02/2006	449	449.5	446	446.5	17870800	446.5
28/02/2006	447	448.5	437	438.75	17964100	438.75
01/03/2006	436.25	449.75	436.25	449	14250100	449
02/03/2006	450	454.5	440.75	442	16616900	442
03/03/2006	442	447	438.75	445	8669600	445
06/03/2006	445.25	451.75	445.25	448.25	11743900	448.25
07/03/2006	445.25	449.5	444.25	445.25	35655800	445.25
08/03/2006	443	444.5	425.75	438	19910000	438
09/03/2006	442	451.5	432.25	441.25	16466300	441.25
10/03/2006	440	457.25	434.5	447	39696400	447
13/03/2006	449.25	451.25	439	443.5	13905100	443.5
14/03/2006	442	452.75	441.25	446.25	13490800	446.25
15/03/2006	448.5	451.75	444.25	448	6424100	448
16/03/2006	447.25	451.75	447	450	7596300	450
17/03/2006	449.75	458.25	449	457.25	15524600	457.25
20/03/2006	457.5	464.5	456.5	457.5	10534000	457.5
21/03/2006	459	470	458.75	464	27018300	464
22/03/2006	463.25	466.5	462.5	462.5	24129200	462.5
23/03/2006	461.75	462.5	456.75	456.75	16594000	456.75
24/03/2006	459	465	457.25	463.25	15545500	463.25
27/03/2006	462	466.25	453	453.75	18783200	453.75
28/03/2006	451.25	454.25	447	449.5	38925600	449.5
29/03/2006	449.75	452	448.25	451	10788600	451
30/03/2006	451	458.5	449.5	457	17381900	457
31/03/2006	454	461.25	454	458	20402900	458
03/04/2006	457.75	460	451	451.75	20491400	451.75
04/04/2006	450	457.5	447.5	457	24032500	457
05/04/2006	456	462.25	453	461.75	12181100	461.75
06/04/2006	462.5	476.25	462	473.25	25700600	473.25
07/04/2006	470	476.5	466.25	468.75	15744000	468.75
10/04/2006	468	468.75	460	467	11613400	467
11/04/2006	468.5	475.75	463.25	463.75	14314400	463.75
12/04/2006	465.5	474	461.75	468	28331800	468
13/04/2006	475	482	475	480	16654200	480
14/04/2006	480	480	480	480	0	480
17/04/2006	480	480	480	480	0	480
18/04/2006	481	482.5	475.75	476.75	7084300	476.75
19/04/2006	478.5	485.75	477.5	484.75	24404200	484.75
20/04/2006	485	488.75	478.75	482.5	14968500	482.5
21/04/2006	485.25	485.75	476	485	16128500	485
24/04/2006	485	491.5	482.25	490	7111200	490
25/04/2006	490	493.5	484	486	20565300	486
26/04/2006	486.75	496.75	485	490	13041900	490
27/04/2006	490	492	483.75	485	14942300	485
28/04/2006	485	488.75	475	476.5	14108100	476.5
01/05/2006	476.5	476.5	476.5	476.5	0	476.5
02/05/2006	476.5	480.5	476	477	8668500	477
03/05/2006	478.5	478.75	462.5	464	18323200	464
04/05/2006	462.75	469.5	462.75	466	18157800	466
05/05/2006	467.75	471	466	467	10860100	467
08/05/2006	470.5	473	461	471.75	11858900	471.75
09/05/2006	472	472.75	466	468.25	19218500	468.25
10/05/2006	469	469	460.5	461.25	17960000	461.25
11/05/2006	461.5	467.5	461.25	461.25	12461000	461.25
12/05/2006	461.5	462	441.25	443.25	22415400	443.25
15/05/2006	440	442.66	421.35	431	27647400	431
16/05/2006	430.75	433.5	419.75	422	26365100	422
17/05/2006	425	425	407.18	407.5	22908200	407.5
18/05/2006	407	417.19	393.59	408.75	21132600	408.75
19/05/2006	407	420.35	407	413.75	22103500	413.75
22/05/2006	412.25	412.25	391.75	393.5	17183100	393.5
23/05/2006	395	414	393.25	410.5	23221600	410.5
24/05/2006	403	408.5	393.5	395.25	20851200	395.25
25/05/2006	396.5	409.5	387.51	409.5	17954600	409.5
26/05/2006	409.5	422	409.5	420.75	16717700	420.75
29/05/2006	420.75	420.75	420.75	420.75	0	420.75
30/05/2006	418	420.75	409	411.25	13555300	411.25
31/05/2006	405.5	417	403.25	413	22886300	413
01/06/2006	412	414.06	407.58	413.75	5441200	413.75
02/06/2006	419.5	423.25	415.6	417.5	10305000	417.5
05/06/2006	420	420	410.5	412.75	5484200	412.75
06/06/2006	409	409	392.5	395.25	18472400	395.25
07/06/2006	397.5	397.98	384.4	394.5	14968600	394.5
08/06/2006	384	394.5	375.69	379.5	12566900	379.5
09/06/2006	386	392	383.25	386.25	16554500	386.25
12/06/2006	386.25	391.5	385.3	391	15310100	391
13/06/2006	383.5	387.65	380.7	385	16763400	385
14/06/2006	384	386.55	373.57	381	14020600	381
15/06/2006	383	395.75	383	394.5	8710400	394.5
16/06/2006	400.75	401.85	388.29	389.25	11397000	389.25
