Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	1063	1086	1063	1084	2771500	584.09
04/01/2006	1089	1129	1089	1116	7974200	601.33
05/01/2006	1122	1122	1098	1098	4944600	591.63
06/01/2006	1095	1116	1092	1112	4789200	599.17
09/01/2006	1108	1123	1108	1119	4339300	602.94
10/01/2006	1120	1125	1101	1106	5272600	595.94
11/01/2006	1108	1131	1097	1129	6056000	608.33
12/01/2006	1129	1134	1118	1119	6120800	602.94
13/01/2006	1120	1120	1100	1110	5721300	598.09
16/01/2006	1112	1124	1111	1118	4980100	602.41
17/01/2006	1115	1116	1105	1114	5179600	600.25
18/01/2006	1070	1102	1060	1096	12755200	590.55
19/01/2006	1105	1128	1104	1117	7718200	601.87
20/01/2006	1115	1153	1115	1141	7688900	614.8
23/01/2006	1129	1132	1117	1122	2396200	604.56
24/01/2006	1116	1144	1116	1135	5745200	611.57
25/01/2006	1145	1178	1145	1178	4787600	634.73
26/01/2006	1181	1190	1165	1168	7192300	629.35
27/01/2006	1180	1187	1150	1157	5847100	623.42
30/01/2006	1153	1156	1141	1146	3492800	617.49
31/01/2006	1158	1158	1110	1144	3868700	616.41
01/02/2006	1140	1156	1139	1148	3930200	618.57
02/02/2006	1156	1159	1142	1145	3042900	616.95
03/02/2006	1152	1152	1135	1148	2245900	618.57
06/02/2006	1153	1153	1131	1141	2717700	614.8
07/02/2006	1153	1155	1121	1137	3951600	612.64
08/02/2006	1136	1140	1125	1135	3623200	611.57
09/02/2006	1136	1149	1125	1129	3047100	608.33
10/02/2006	1131	1134	1105	1127	3398800	607.25
13/02/2006	1130	1130	1111	1130	2130000	608.87
14/02/2006	1130	1134	1107	1115	5316000	600.79
15/02/2006	1114	1118	1109	1110	3139300	598.09
16/02/2006	1109	1129	1109	1129	7533700	608.33
17/02/2006	1129	1159	1123	1156	4885400	622.88
20/02/2006	1157	1170	1132	1150	1690600	619.65
21/02/2006	1162	1164	1148	1153	1665300	621.26
22/02/2006	1166	1186	1152	1173	1867700	632.04
23/02/2006	1177	1178	1149	1154	3563300	621.8
24/02/2006	1161	1165	1135	1139	11472500	613.72
27/02/2006	1153	1158	1141	1149	2957300	619.11
28/02/2006	1151	1174	1129	1134	4038200	611.03
01/03/2006	1139	1153	1126	1147	2649500	618.03
02/03/2006	1142	1157	1140	1143	2436200	615.88
03/03/2006	1143	1146	1128	1140	2586400	614.26
06/03/2006	1146	1148	1132	1143	2991200	615.88
07/03/2006	1140	1140	1108	1112	4400800	599.17
08/03/2006	1106	1122	1084	1107	5711400	596.48
09/03/2006	1108	1115	1103	1115	2421300	600.79
10/03/2006	1113	1129	1102	1121	3956600	604.02
13/03/2006	1121	1142	1103	1110	4132300	598.09
14/03/2006	1105	1114	1094	1109	4906700	597.56
15/03/2006	1116	1132	1102	1113	4089800	599.71
16/03/2006	1117	1120	1106	1115	3564000	600.79
17/03/2006	1120	1126	1108	1123	6402500	605.1
20/03/2006	1129	1146	1117	1134	6005000	611.03
21/03/2006	1139	1139	1125	1130	2738800	608.87
22/03/2006	1123	1130	1102	1110	4863300	598.09
23/03/2006	1117	1120	1097	1108	5985700	597.02
24/03/2006	1105	1122	1095	1120	4013100	603.48
27/03/2006	1126	1126	1105	1105	4098000	595.4
28/03/2006	1110	1110	1096	1101	7060100	593.25
29/03/2006	1105	1119	1092	1118	4608200	602.41
30/03/2006	1120	1153	1120	1149	9138000	619.11
31/03/2006	1150	1157	1130	1136	3244900	612.1
03/04/2006	1129	1156	1129	1151	3949200	620.19
04/04/2006	1151	1157	1138	1144	5179000	616.41
05/04/2006	1147	1147	1125	1134	6145700	611.03
06/04/2006	1133	1137	1123	1129	3588600	608.33
07/04/2006	1125	1140	1111	1119	5648500	602.94
10/04/2006	1124	1128	1112	1121	3359500	604.02
11/04/2006	1117	1124	1107	1109	3545500	597.56
12/04/2006	1120	1154	1112	1153	13123900	621.26
13/04/2006	1149	1173	1135	1165	5515700	627.73
14/04/2006	1165	1165	1165	1165	0	627.73
17/04/2006	1165	1165	1165	1165	0	627.73
18/04/2006	1165	1177	1150	1160	3176300	625.04
19/04/2006	1171	1184	1159	1161	3785900	625.57
20/04/2006	1159	1189	1159	1178	7738100	634.73
21/04/2006	1185	1200	1180	1196	6760400	644.43
24/04/2006	1194	1194	1183	1190	2125700	641.2
25/04/2006	1188	1197	1176	1178	3993100	634.73
26/04/2006	1186	1194	1163	1169	6553000	629.89
27/04/2006	1171	1190	1170	1172	4045900	631.5
28/04/2006	1172	1176	1148	1157	4471100	623.42
01/05/2006	1157	1157	1157	1157	0	623.42
02/05/2006	1157	1178	1156	1175	5119100	633.12
03/05/2006	1175	1182	1153	1156	7248900	622.88
04/05/2006	1162	1175	1158	1160	4841800	625.04
05/05/2006	1160	1168	1154	1160	4033400	625.04
08/05/2006	1167	1167	1144	1148	4394900	618.57
09/05/2006	1145	1150	1138	1145	4226700	616.95
10/05/2006	1148	1159	1147	1152	5267200	620.73
11/05/2006	1148	1157	1142	1145	3739700	616.95
12/05/2006	1138	1146	1116	1118	3595900	602.41
15/05/2006	1115	1115	1070.37	1084	6607500	584.09
16/05/2006	1093	1100.6	1077	1094	5397300	589.47
17/05/2006	1098	1116	1090.75	1094	16645700	589.47
18/05/2006	1094	1096	1045.62	1061	9098000	571.69
19/05/2006	1061	1067	1024	1027	8765800	553.37
22/05/2006	1034	1027	981.67	994	9847400	535.59
23/05/2006	994	1030	998.87	1021	6893000	550.14
24/05/2006	1014	1021.25	978	999	10197800	538.29
25/05/2006	1007	1010.73	978.15	984	7052800	530.2
26/05/2006	994	1015	988	1015	5509500	546.91
29/05/2006	1015	1015	1015	1015	0	546.91
30/05/2006	1010	1015.25	982.68	985	5400900	530.74
31/05/2006	983	1000	968	998	7609600	537.75
01/06/2006	998	998	978	985	4611700	530.74
02/06/2006	1000	1000	957.07	966	9727800	520.5
05/06/2006	965	977	963	975	4002700	525.35
06/06/2006	968	985	948	953	12299100	513.5
07/06/2006	950	965	942	961	6156500	517.81
08/06/2006	949	961	926	926	11126000	498.95
09/06/2006	934	956	925	953	9240700	513.5
12/06/2006	954	958.37	949.85	951	3478700	512.42
13/06/2006	940	942.49	910.25	921	7854900	496.26
14/06/2006	925	945	921	933	7841500	502.72
15/06/2006	935	975.18	935	973	8729400	524.28
16/06/2006	991	997.79	967	967	9774200	521.04
19/06/2006	972	981	970.32	971	5235600	523.2
20/06/2006	966	990	962.5	985	5005900	530.74
21/06/2006	983	993.5	967	985	8017100	530.74
22/06/2006	995	1001.48	956.91	975	12998100	525.35
23/06/2006	972.5	972.5	940	960	9235500	517.27
26/06/2006	962.5	970.57	920.68	923	11995400	497.33
27/06/2006	928	939.8	928	934	13142200	503.26
28/06/2006	933	945.8	929.5	940	9593600	506.49
29/06/2006	945.5	966	932	962.5	9839000	518.62
30/06/2006	971	997	969.5	974.5	8006500	525.08
03/07/2006	978.5	996	978.5	986.5	4559200	549.01
04/07/2006	982.5	989	973	983	2114600	547.07
05/07/2006	966.5	966.5	942	951.5	3331600	529.54
06/07/2006	955	971.5	943	970	5278300	539.83
07/07/2006	969	969	951.5	960.5	4089600	534.54
10/07/2006	956.5	973.5	956.5	970	3042400	539.83
11/07/2006	971.5	974	962	965.5	5297100	537.33
12/07/2006	968	989	967.5	982.5	5776500	546.79
13/07/2006	978.5	978.5	948	955.5	6550900	531.76
14/07/2006	946	948.5	925	935.5	4542300	520.63
17/07/2006	935.5	942	919	936.5	4456700	521.19
18/07/2006	936	957	936	950	5546000	528.7
19/07/2006	956.5	1000	944	963	4999200	535.94
20/07/2006	976	979	964.5	974	4384400	542.06
21/07/2006	972	1002	967	975	7262000	542.61
24/07/2006	976	1032	976	1029.5	11181200	572.95
25/07/2006	1037	1044	1013	1030	9966900	573.22
26/07/2006	1030	1043.5	1018	1028.5	7992400	572.39
27/07/2006	1035	1052.5	1024	1044.5	9751200	581.29
28/07/2006	1037.5	1083	1034	1071	10491400	596.04
31/07/2006	1078.5	1094.5	1056.5	1075	9221400	598.27
01/08/2006	1071	1073	1050	1054.5	9745200	586.86
02/08/2006	1054.5	1061.5	1046	1057	9542500	588.25
03/08/2006	1057	1057	1057	1057	0	588.25
04/08/2006	1038.5	1046.5	1025	1043.5	6711200	580.74
07/08/2006	1038.5	1039	1023.5	1028	3531600	572.11
08/08/2006	1030	1036	1023.5	1029.5	5033100	572.95
09/08/2006	1028.5	1036.5	1012	1022	4224600	568.77
10/08/2006	1008.5	1043	1008.5	1039.5	6347900	578.51
11/08/2006	1036	1054.5	1030	1048	6219600	583.24
14/08/2006	1049	1060.5	1045.5	1052	7123300	585.47
15/08/2006	1051	1070	1047.5	1068.5	3828900	594.65
16/08/2006	1073.5	1075.5	1059	1071.5	2857700	596.32
17/08/2006	1066	1081	1040	1040	9375600	578.79
18/08/2006	1040	1047	1016	1019	8240400	567.1
21/08/2006	1020.5	1024	1003	1020	5265100	567.66
22/08/2006	1025.5	1025.5	1007	1012	3569000	563.21
23/08/2006	1017	1017	998	1000	4954300	556.53
24/08/2006	1000	1017	987.5	1006.5	5362900	560.15
25/08/2006	1005	1014	993	1006.5	3066000	560.15
28/08/2006	1006.5	1006.5	1006.5	1006.5	0	560.15
29/08/2006	1014	1021	999.5	1013	4022600	563.76
30/08/2006	1012	1040	1011	1037	5900700	577.12
31/08/2006	1037	1048	1030	1034.5	6729400	575.73
01/09/2006	1040	1054.5	1032.5	1044	4807200	581.01
04/09/2006	1042.5	1065	1040	1063	3069500	591.59
05/09/2006	1067.5	1085	1059.5	1067.5	6260300	594.09
06/09/2006	1070	1073.5	1052.5	1056	5035500	587.69
07/09/2006	1050	1053.5	1043.5	1047.5	5405700	582.96
08/09/2006	1048	1057	1040	1048.5	3770700	583.52
11/09/2006	1046.5	1048.5	1021	1029	5679200	572.67
12/09/2006	1032	1041.5	1016	1039	3187600	578.23
13/09/2006	1044	1044	1027	1034.5	3776800	575.73
14/09/2006	1039	1045	1021.5	1031	7149500	573.78
15/09/2006	1034	1047	1026.5	1039.5	5207800	578.51
18/09/2006	1040	1051	1033	1038	1649300	577.68
