Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	1305	1318	1299	1314	3817000	1054.5
04/01/2006	1325	1351	1318	1343	6482900	1077.77
05/01/2006	1345	1348	1308	1317	6894900	1056.91
06/01/2006	1320	1324	1307	1321	5765700	1060.12
09/01/2006	1335	1341	1325	1330	7486800	1067.34
10/01/2006	1332	1332	1291	1296	9260600	1040.06
11/01/2006	1301	1307	1288	1303	10999000	1045.67
12/01/2006	1304	1327	1304	1323	6336700	1061.72
13/01/2006	1320	1334	1308	1325	5174100	1063.33
16/01/2006	1381	1440	1358	1401	15022300	1124.32
17/01/2006	1387	1394	1357	1370	9625000	1099.44
18/01/2006	1355	1383	1344	1372	6530100	1101.05
19/01/2006	1388	1413	1387	1406	5870800	1128.33
20/01/2006	1398	1407	1389	1397	6598000	1121.11
23/01/2006	1384	1393	1369	1374	5122100	1102.65
24/01/2006	1374	1381	1355	1359	6565000	1090.61
25/01/2006	1365	1381	1360	1381	7403400	1108.27
26/01/2006	1384	1408	1377	1390	4898400	1115.49
27/01/2006	1400	1409	1382	1391	3189200	1116.29
30/01/2006	1394	1403	1358	1392	3729500	1117.1
31/01/2006	1373	1401	1373	1395	4614100	1119.5
01/02/2006	1385	1442	1383	1423	9276600	1141.97
02/02/2006	1416	1420	1396	1400	7641700	1123.52
03/02/2006	1400	1405	1374	1394	3273800	1118.7
06/02/2006	1402	1419	1391	1393	2837300	1117.9
07/02/2006	1403	1409	1386	1397	2886300	1121.11
08/02/2006	1385	1408	1380	1397	3523400	1121.11
09/02/2006	1406	1446	1405	1442	7737700	1157.22
10/02/2006	1445	1469	1445	1455	5042000	1167.65
13/02/2006	1467	1477	1451	1464	3372300	1174.88
14/02/2006	1477	1480	1458	1463	4674800	1174.08
15/02/2006	1470	1477	1454	1467	4426100	1177.29
16/02/2006	1472	1479	1462	1477	3198400	1185.31
17/02/2006	1476	1481	1465	1477	3174100	1185.31
20/02/2006	1500	1513	1472	1480	2986400	1187.72
21/02/2006	1497	1497	1466	1472	4951700	1181.3
22/02/2006	1468	1478	1461	1475	7341300	1183.71
23/02/2006	1483	1483	1451	1462	6285600	1173.27
24/02/2006	1471	1481	1460	1465	4097700	1175.68
27/02/2006	1470	1489	1469	1488	2628900	1194.14
28/02/2006	1494	1496	1480	1490	5809600	1195.74
01/03/2006	1490	1490	1462	1471	5424300	1180.5
02/03/2006	1479	1551	1465	1527	21575600	1225.44
03/03/2006	1522	1598	1480	1487	13176700	1193.34
06/03/2006	1487	1528	1487	1512	26756800	1213.4
07/03/2006	1509	1509	1447	1449	17262200	1162.84
08/03/2006	1428	1433	1404	1413	11882700	1170.34
09/03/2006	1420	1432	1398	1404	7018400	1162.89
10/03/2006	1403	1449	1403	1436	11098600	1189.39
13/03/2006	1449	1460	1432	1435	7083800	1188.57
14/03/2006	1427	1457	1427	1450	7081700	1200.99
15/03/2006	1435	1474	1433	1467	6339400	1215.07
16/03/2006	1466	1492	1466	1490	8220100	1234.12
17/03/2006	1490	1525	1490	1520	10101700	1258.97
20/03/2006	1528	1583	1521	1533	10067400	1269.74
21/03/2006	1538	1540	1527	1540	4904900	1275.53
22/03/2006	1539	1543	1521	1535	5039900	1271.39
23/03/2006	1547	1553	1510	1517	8260500	1256.48
24/03/2006	1510	1541	1509	1531	4466300	1268.08
27/03/2006	1539	1551	1520	1524	8788200	1262.28
28/03/2006	1500	1505	1454	1482	36990800	1227.49
29/03/2006	1485	1488	1448	1457	21654300	1206.79
30/03/2006	1457	1468	1445	1456	26696700	1205.96
31/03/2006	1459	1459	1426	1432	8953900	1186.08
03/04/2006	1438	1477	1438	1470	17890400	1217.56
04/04/2006	1468	1499	1460	1492	26409900	1235.78
05/04/2006	1485	1522	1485	1516	5566300	1255.66
06/04/2006	1517	1530	1516	1524	8841600	1262.28
07/04/2006	1527	1534	1493	1497	10768700	1239.92
10/04/2006	1497	1497	1483	1493	5712000	1236.61
11/04/2006	1488	1492	1447	1450	5105100	1200.99
12/04/2006	1442	1457	1436	1442	7713900	1194.36
13/04/2006	1438	1464	1438	1459	3775600	1208.44
14/04/2006	1459	1459	1459	1459	0	1208.44
17/04/2006	1459	1459	1459	1459	0	1208.44
18/04/2006	1441	1480	1441	1455	2460800	1205.13
19/04/2006	1470	1482	1452	1456	3742300	1205.96
20/04/2006	1453	1459	1423	1428	13309300	1182.77
21/04/2006	1432	1441	1419	1433	6850000	1186.91
24/04/2006	1433	1433	1401	1416	3649200	1172.83
25/04/2006	1427	1443	1418	1422	7056000	1177.8
26/04/2006	1422	1437	1414	1429	7854400	1183.6
27/04/2006	1429	1438	1406	1415	6826900	1172
28/04/2006	1415	1517	1415	1456	14185900	1205.96
01/05/2006	1456	1456	1456	1456	0	1205.96
02/05/2006	1448	1511	1439	1468	8316600	1215.9
03/05/2006	1473	1474	1431	1432	5584400	1186.08
04/05/2006	1432	1455	1432	1443	5181300	1195.19
05/05/2006	1454	1461	1443	1459	3446700	1208.44
08/05/2006	1468	1483	1460	1473	4852700	1220.04
09/05/2006	1473	1489	1460	1474	4480300	1220.87
10/05/2006	1465	1470	1446	1450	4295300	1200.99
11/05/2006	1446	1502	1442	1455	7828500	1205.13
