Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	331.75	332	324	325.25	46935000	319.08
04/01/2006	327.75	329	325.25	327.75	42420200	321.53
05/01/2006	328	328	323.25	324.75	49606600	318.59
06/01/2006	324.25	326.75	320	321.75	53508600	315.65
09/01/2006	321.25	322.25	318.25	319.25	49697900	313.19
10/01/2006	319.75	322.75	319.75	319.75	65192700	313.68
11/01/2006	320	325	320	323.25	54498600	317.12
12/01/2006	324	325	319	320.75	55105400	314.66
13/01/2006	320.75	321.25	317.75	318.5	59647700	312.46
16/01/2006	319.25	320.75	316.25	318	45927400	311.97
17/01/2006	313	316	310.25	312.25	117653600	306.33
18/01/2006	310	317.25	307.5	315	73218200	309.02
19/01/2006	316	317.25	312.5	313.25	42801300	307.31
20/01/2006	313	320	313	316	52962400	310
23/01/2006	314	316	311.75	312.75	34440200	306.82
24/01/2006	313.75	315	308.5	309	31936600	303.14
25/01/2006	309.25	312	308.5	311.5	39192700	305.59
26/01/2006	313.25	319.5	313	318.75	62892800	312.7
27/01/2006	318.75	322	318.25	321	53085000	314.91
30/01/2006	321	321	313.75	315.25	30632000	309.27
31/01/2006	315.25	319	314.25	318	45931500	311.97
01/02/2006	319.25	320.5	313.25	315	57200500	309.02
02/02/2006	316.75	325	314.75	320.5	67502000	314.42
03/02/2006	322.25	327.5	322.25	325	42500700	318.83
06/02/2006	327.5	327.5	324.5	325.5	34687000	319.32
07/02/2006	325.25	329.75	324.5	329.5	67497400	323.25
08/02/2006	328.5	330	325.75	327	52084100	320.8
09/02/2006	321.75	325.25	315.25	320.5	136504600	314.42
10/02/2006	318.25	320	316.75	318	79467700	311.97
13/02/2006	317	323	317	321.25	42639200	315.15
14/02/2006	321.5	325.75	321.25	325.25	46952200	319.08
15/02/2006	325	327	321	325.25	45645400	319.08
16/02/2006	326.5	327.25	324.25	326.75	40708800	320.55
17/02/2006	325.25	328.75	323.5	325.5	23531300	319.32
20/02/2006	326	326.5	322.25	324.25	14354400	318.1
21/02/2006	324.5	325	321.5	324.5	35743200	318.34
22/02/2006	324.25	325.75	323	324.5	48661900	318.34
