Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	2841.98	2893.83	2841.98	2876.54	1805800	6392.32
04/01/2006	2883.95	2886.42	2824.69	2834.57	2743700	6299.04
05/01/2006	2839.51	2844.44	2824.69	2832.1	2568400	6293.55
06/01/2006	2837.04	2864.2	2834.57	2851.85	2295200	6337.45
09/01/2006	2856.79	2856.79	2824.69	2849.38	1489200	6331.96
10/01/2006	2839.51	2869.14	2827.16	2869.14	3999900	6375.86
11/01/2006	2886.42	2918.52	2869.14	2918.52	5126000	6485.6
12/01/2006	2923.46	2928.4	2898.77	2913.58	4141000	6474.62
13/01/2006	2908.64	2911.11	2871.6	2879.01	4116500	6397.81
16/01/2006	2879.01	2930.86	2874.07	2923.46	2521800	6496.57
17/01/2006	2918.52	2923.46	2864.2	2879.01	4042700	6397.81
18/01/2006	2861.73	2876.54	2846.91	2864.2	3745800	6364.88
19/01/2006	2874.07	2898.77	2874.07	2881.48	3409800	6403.29
20/01/2006	2881.48	2896.3	2832.1	2841.98	2284600	6315.5
23/01/2006	2822.22	2834.57	2804.94	2832.1	2960400	6293.55
24/01/2006	2824.69	2866.67	2812.35	2856.79	5797900	6348.42
25/01/2006	2859.26	2866.67	2829.63	2859.26	6502900	6353.91
26/01/2006	2874.07	2883.95	2859.26	2881.48	3674700	6403.29
27/01/2006	2911.11	2928.4	2893.83	2918.52	4445100	6485.6
30/01/2006	2928.4	2935.8	2881.48	2898.77	2337400	6441.7
31/01/2006	2906.17	2928.4	2906.17	2918.52	3654400	6485.6
01/02/2006	2923.46	2995.06	2920.99	2958.02	5915500	6573.39
02/02/2006	2975.31	2987.65	2930.86	2930.86	3592700	6513.03
03/02/2006	2923.46	2955.56	2923.46	2945.68	2899500	6545.95
06/02/2006	2948.15	2980.25	2935.8	2945.68	2874500	6545.95
07/02/2006	2955.56	2960.49	2920.99	2950.62	2663400	6556.93
08/02/2006	2938.27	2975.31	2920.99	2958.02	3914500	6573.39
09/02/2006	2962.96	3029.63	2962.96	3009.88	5460800	6688.61
10/02/2006	3002.47	3002.47	2948.15	2955.56	3895600	6567.9
13/02/2006	2965.43	2980.25	2943.21	2977.78	2041500	6617.28
14/02/2006	2977.78	2990.12	2945.68	2967.9	2590200	6595.34
15/02/2006	2980.25	2990.12	2953.09	2967.9	1595000	6595.34
16/02/2006	2977.78	2985.19	2943.21	2960.49	3493000	6578.88
17/02/2006	2962.96	2965.43	2940.74	2953.09	1853700	6562.41
20/02/2006	2923.46	2950.62	2923.46	2940.74	1559800	6534.98
21/02/2006	2945.68	2958.02	2940.74	2943.21	1286900	6540.47
22/02/2006	2940.74	2970.37	2930.86	2965.43	2855000	6589.85
23/02/2006	2970.37	2970.37	2925.93	2928.4	1848300	6507.54
24/02/2006	2930.86	2943.21	2923.46	2925.93	1216600	6502.06
27/02/2006	2913.58	2955.56	2913.58	2950.62	2588700	6556.93
28/02/2006	2943.21	2955.56	2898.77	2901.23	2945300	6447.19
01/03/2006	2906.17	2997.53	2906.17	2955.56	6023800	6567.9
02/03/2006	2958.02	2985.19	2918.52	2930.86	2982700	6513.03
03/03/2006	2933.33	2945.68	2903.7	2928.4	3077100	6507.54
06/03/2006	2945.68	2950.62	2898.77	2928.4	1689900	6507.54
07/03/2006	2920.99	2960.49	2908.64	2950.62	2868200	6556.93
08/03/2006	2953.09	2953.09	2925.93	2933.33	3724100	6518.52
09/03/2006	2943.21	2950.62	2925.93	2940.74	1588100	6534.98
