Date	Open	High	Low	Close	Volume	Adj Close
03/01/2006	144.29	146.86	143.43	145.14	346371100	165.88
04/01/2006	146.29	146.86	145.71	146.57	309212200	167.51
05/01/2006	146.57	146.86	145.14	146.29	287378600	167.18
06/01/2006	146.57	151.71	145.43	151.43	478024200	173.06
09/01/2006	151.43	152.29	149.14	149.43	264525400	170.78
10/01/2006	149.14	150.29	147.71	149.14	309380300	170.45
11/01/2006	150	151.14	149.14	149.71	238542000	171.1
12/01/2006	147.43	148.29	146	147.14	507863300	168.16
13/01/2006	146.57	147.14	143.71	145.71	403682000	166.53
16/01/2006	145.14	145.14	142.57	144	282166100	164.57
17/01/2006	143.43	144.29	141.43	141.71	471282100	161.96
18/01/2006	140	142.86	139.71	141.14	357211400	161.31
19/01/2006	142.57	142.86	137.71	138.57	527632600	158.37
20/01/2006	138.86	139.43	133.71	134.86	667530800	154.12
23/01/2006	133.71	139.43	133.14	138.29	510260900	158.04
24/01/2006	141.71	142.29	134.57	134.57	742921400	153.8
25/01/2006	134.86	138.29	134.86	136.86	469790400	156.41
26/01/2006	138	139.43	137.14	138.57	490857100	158.37
27/01/2006	139.43	140.86	137.14	139.43	501893100	159.35
30/01/2006	138.86	139.14	137.43	138	207984700	157.71
31/01/2006	138	138	134	134.86	428072800	154.12
01/02/2006	134.86	135.43	133.43	133.71	534179200	152.82
02/02/2006	134.29	134.86	133.14	133.14	296279900	152.16
03/02/2006	133.14	134.29	133.14	133.71	295976300	152.82
06/02/2006	133.43	133.43	131.43	132.57	350943400	151.51
07/02/2006	132.86	134	132.29	132.29	310026400	151.18
08/02/2006	131.71	135.43	131.43	134	341090900	153.14
09/02/2006	135.14	138	134.86	137.14	377629300	156.73
10/02/2006	137.14	138.29	136.86	137.43	306506900	157.06
13/02/2006	138	138.57	135.71	137.14	205156100	156.73
14/02/2006	137.71	138.86	136.86	138.86	233434500	158.69
15/02/2006	139.43	139.71	136.29	137.14	420140600	156.73
16/02/2006	136.86	142.86	136.86	142.29	548423300	162.61
17/02/2006	142.29	144.86	142	142	443252100	162.29
20/02/2006	141.14	141.14	138.57	140.29	215978900	160.33
21/02/2006	141.14	141.14	137.43	137.71	330428200	157.39
22/02/2006	137.14	137.14	134.29	135.71	468178400	155.1
23/02/2006	136	136	133.14	134	387797500	153.14
24/02/2006	133.43	134.29	132.86	133.71	258954200	152.82
27/02/2006	125.71	131.43	125.14	130	817258100	148.57
28/02/2006	128.86	128.86	124.57	124.57	821395900	142.37
01/03/2006	125.71	128.57	125.43	127.71	677742100	145.96
02/03/2006	128.29	130.29	127.14	128	464163300	146.29
03/03/2006	128.86	141.14	128	138.86	1397928200	158.69
06/03/2006	144.57	148	142	142.86	1094872200	163.27
07/03/2006	142.57	144.86	141.14	141.43	415866600	161.63
08/03/2006	140	142	139.43	140	356371400	160
09/03/2006	141.14	142	139.71	142	216763300	162.29
10/03/2006	141.43	144.86	141.14	142.57	320353500	162.94
13/03/2006	146.86	149.71	146.86	148.29	600741700	169.47
14/03/2006	148.29	150.86	145.43	147.14	447995100	168.16
15/03/2006	147.71	148	144	145.14	292321500	165.88
16/03/2006	148.57	149.71	147.14	148.57	350000300	169.8
17/03/2006	148.86	155.43	147.43	147.43	784239200	168.49
20/03/2006	147.14	147.43	144.86	145.71	338965600	166.53
21/03/2006	146	148.57	145.14	147.71	266197600	168.82
22/03/2006	146.86	148	145.43	146	179639900	166.86
23/03/2006	146.29	147.14	144.86	145.43	273416100	166.2
24/03/2006	145.14	145.43	142	143.43	422101100	163.92
27/03/2006	142.86	144	141.71	142.29	245765700	162.61
28/03/2006	140.29	141.71	136.29	136.57	703779000	156.08
29/03/2006	136.29	140.86	135.71	139.43	412423600	159.35
30/03/2006	140.57	141.43	138.57	140	216772700	160
31/03/2006	139.43	139.71	136.29	137.71	302143000	157.39
03/04/2006	138.86	140	137.14	138.86	257669300	158.69
04/04/2006	138.86	141.14	138.86	139.14	250856000	159.02
05/04/2006	140.29	146.86	138	141.14	401553200	161.31
06/04/2006	141.71	144.86	140.86	142	315947100	162.29
07/04/2006	142	144.86	141.71	143.71	348306300	164.24
10/04/2006	146.29	146.86	143.14	144.29	396054100	164.9
11/04/2006	144.57	145.14	140.86	141.14	309953800	161.31
12/04/2006	142.57	147.14	139.14	142	580866100	162.29
13/04/2006	142.86	146.86	142.57	146.57	295200500	167.51
14/04/2006	146.57	146.57	146.57	146.57	0	167.51
17/04/2006	146.57	146.57	146.57	146.57	0	167.51
18/04/2006	145.71	146.57	144.86	146.57	171270900	167.51
19/04/2006	147.14	148	145.14	145.71	244407500	166.53
20/04/2006	145.43	147.71	145.14	146	231313800	166.86
21/04/2006	146.57	147.14	144.86	146	200617200	166.86
24/04/2006	146.57	146.86	144.29	144.29	229894800	164.9
25/04/2006	144.86	146.57	144	144	172000600	164.57
26/04/2006	144	147.14	143.71	146	204457300	166.86
27/04/2006	145.71	149.43	145.71	149.14	367736200	170.45
28/04/2006	148.57	150	147.43	148	335841800	169.14
01/05/2006	148	148	148	148	0	169.14
02/05/2006	148.29	149.43	146	146	302273500	166.86
03/05/2006	146.29	146.57	143.43	144	247772000	164.57
04/05/2006	144.57	145.14	142.86	143.43	200570900	163.92
05/05/2006	143.71	146.86	143.14	146.29	343149000	167.18
08/05/2006	146.29	148	143.43	144	253212400	164.57
09/05/2006	145.43	149.71	144.86	148.57	483421300	169.8
10/05/2006	148.57	150.57	147.14	148.57	393360100	169.8
11/05/2006	148.29	148.29	144.86	145.43	193797500	166.2
12/05/2006	144.86	145.43	141.43	141.43	318630400	161.63
15/05/2006	141.71	150.29	141.71	143.14	392315300	163.59
16/05/2006	143.14	147.63	141.51	143.71	380042100	164.24
17/05/2006	143.71	144.57	139.71	139.71	298790400	159.67
18/05/2006	140.57	142.86	138.37	140.29	349607100	160.33
19/05/2006	140.29	147.43	138.57	138.86	294034600	158.69
22/05/2006	139.14	143.86	134.65	134.86	405975600	154.12
23/05/2006	136	138.97	132.65	133.43	717389100	152.49
24/05/2006	130.86	134.17	128.86	130.29	736976300	148.9
25/05/2006	131.43	134.86	129.84	134.86	330570700	154.12
26/05/2006	135.43	138.57	135.43	136.86	333132800	156.41
29/05/2006	136.86	136.86	136.86	136.86	0	156.41
30/05/2006	140.57	141.71	136.86	136.86	484310400	156.41
31/05/2006	136.29	142.27	134.15	140.57	471653900	160.65
01/06/2006	140.57	142.64	138.94	142.57	380666300	162.94
02/06/2006	143.43	145.92	142.57	144.86	366786400	165.55
05/06/2006	144.86	145.36	142.69	142.86	237582300	163.27
06/06/2006	139.43	142.57	139.22	140.86	373570100	160.98
07/06/2006	138	140.86	135.14	140	313098800	160
08/06/2006	136	140.71	134.65	135.14	332806500	154.45
09/06/2006	137.71	138.57	136.86	137.71	275724100	157.39
12/06/2006	137.14	139.58	133.36	134.29	226105800	153.47
13/06/2006	132.57	136.29	130.29	131.43	366623500	150.2
14/06/2006	131.71	132.86	98.58	129.71	369519100	148.24
15/06/2006	130.86	133.43	130.29	132.57	292054600	151.51
16/06/2006	134	134.86	130.86	130.86	458598000	149.55
19/06/2006	132	137.04	130.57	131.43	172532800	150.2
20/06/2006	130.57	132.29	129.78	130.29	236809300	148.9
21/06/2006	131.14	131.63	127.03	130.57	409505000	149.22
22/06/2006	131.43	133.14	129.3	131.14	307309600	149.88
23/06/2006	131.14	131.76	129.52	131.14	132120800	149.88
26/06/2006	131.43	132.57	130.29	131.71	308746800	150.53
27/06/2006	132.86	134.2	129.05	129.14	292773400	147.59
28/06/2006	128.86	130.57	128.29	129.14	213943300	147.59
29/06/2006	130	132.57	128.29	131.43	308285200	150.2
30/06/2006	132.86	132.86	130.57	131.71	288546000	150.53
03/07/2006	132.57	134.57	131.43	134.57	220188100	153.8
04/07/2006	135.14	136.29	134.86	136	165866200	155.43
05/07/2006	135.43	136.86	133.71	134.57	187169100	153.8
06/07/2006	134.86	137.71	134.57	137.14	228956600	156.73
07/07/2006	137.14	137.43	134	135.71	231525100	155.1
10/07/2006	135.43	137.71	134.57	136.86	125653200	156.41
11/07/2006	134	135.43	134	134.57	245612300	153.8
12/07/2006	135.14	135.71	132.57	133.14	201819000	152.16
13/07/2006	132.86	132.86	128.57	129.71	353375300	148.24
14/07/2006	128.86	130.29	127.71	127.71	300779000	145.96
17/07/2006	127.71	128.29	125.71	127.43	260845300	145.63
18/07/2006	126.86	128.29	125.71	126.86	214831700	144.98
19/07/2006	127.14	130.29	127.14	130.29	303165800	148.9
20/07/2006	130.57	131.14	127.14	129.71	249281700	148.24
21/07/2006	129.14	129.43	126	127.14	481866200	145.31
24/07/2006	130.86	132	129.43	131.71	274795100	150.53
25/07/2006	131.71	134.29	131.14	132.29	291713000	151.18
26/07/2006	132.57	132.86	130.29	132	298066300	150.86
27/07/2006	132.57	132.86	130.86	132	179056400	150.86
28/07/2006	115.5	119.25	114.5	119.25	291676800	136.29
31/07/2006	119.5	119.5	115.5	116.25	333231200	116.25
01/08/2006	116.5	118.5	113.75	114.25	297731700	114.25
02/08/2006	114.5	116.25	113.75	116	262397500	116
03/08/2006	116	116	116	116	0	116
04/08/2006	115.25	117.5	114	117	323134500	117
07/08/2006	116	116.5	114.75	114.75	139193700	114.75
08/08/2006	115.75	116.5	114.75	115	243588700	115
09/08/2006	114.5	116.5	114	116.5	259690000	116.5
10/08/2006	114	114	111.25	112	558708500	112
11/08/2006	112.25	112.25	107.75	110	543361100	110
14/08/2006	109.75	110.25	108.25	110.25	257656300	110.25
15/08/2006	110	111.5	109.5	111.25	363666800	111.25
16/08/2006	110.75	111.75	109	110	536517600	110
17/08/2006	110.25	111.25	108.5	110.5	324247800	110.5
18/08/2006	110	110.5	108.5	110	396786600	110
21/08/2006	110	111	109.5	110	169173200	110
22/08/2006	110.5	111.5	110	110.5	188628500	110.5
23/08/2006	110.25	110.75	108.75	110.5	208875600	110.5
24/08/2006	110.25	111.5	109.75	110.75	189915500	110.75
25/08/2006	111.75	113	111	112.25	293072300	112.25
28/08/2006	112.25	112.25	112.25	112.25	0	112.25
29/08/2006	113	113.75	112.5	113.5	269421000	113.5
30/08/2006	113.75	115.25	113.5	115	385370600	115
31/08/2006	114.75	115	113.5	113.75	228198900	113.75
01/09/2006	114.25	115	113.5	114.75	158275900	114.75
04/09/2006	114.75	114.75	113.5	114	184975700	114
05/09/2006	115	115	114	114.5	180691300	114.5
06/09/2006	114.75	115	114	114.25	252294200	114.25
07/09/2006	113.5	114	111.75	112.5	247602400	112.5
08/09/2006	113	114.25	112.75	113.5	160133000	113.5
11/09/2006	115	115.5	113.75	114.75	234204600	114.75
12/09/2006	114.75	117.5	114.25	117.5	529081000	117.5
13/09/2006	117.25	119.25	117	118	715920100	118
14/09/2006	118.25	118.25	116.25	116.5	363857500	116.5
15/09/2006	116.25	116.75	115.5	116.25	421769800	116.25
18/09/2006	115.75	116.5	115.25	116.25	291596100	116.25
19/09/2006	116	116.25	113.5	114.25	282781800	114.25
20/09/2006	114.25	115.25	114	114.5	342696500	114.5
21/09/2006	114.75	117	114.5	116.25	556202100	116.25
22/09/2006	115.25	116	114	115	257593800	115
25/09/2006	115	117	115	115.5	341418100	115.5
26/09/2006	116.25	119.25	116	119	464116500	119
27/09/2006	119.25	121.5	119.25	121.5	530932300	121.5
28/09/2006	120.75	122	120	122	311525100	122
29/09/2006	121.75	123.75	121.5	122.25	353681500	122.25
02/10/2006	121.75	122.5	120	120.75	200859700	120.75
03/10/2006	120	123	119.5	122.25	380233500	122.25
04/10/2006	123.25	127.25	123	127.25	675020300	127.25
05/10/2006	128	128	125.5	126.25	482203400	126.25
06/10/2006	125.5	126.25	124.25	126.25	271798000	126.25
09/10/2006	125.75	127.25	125.25	126	209327200	126
10/10/2006	127	129.75	126.75	129.25	645202600	129.25
11/10/2006	129.5	131.5	128.75	130.25	337168600	130.25
12/10/2006	130.5	131.5	128.75	130	264228100	130
13/10/2006	130.5	132	130	130.75	263198000	130.75
16/10/2006	130.75	130.75	129	130	183522900	130
17/10/2006	129.5	129.75	128	128.5	286568900	128.5
18/10/2006	128.5	130.25	128	128.75	420679000	128.75
19/10/2006	128	129	126.75	128.75	210316700	128.75
20/10/2006	128.75	130.25	128	128.5	272860400	128.5
23/10/2006	129.25	129.75	127.5	129.5	229451800	129.5
24/10/2006	129	130	128.25	130	266879700	130
25/10/2006	130.25	132.5	129.5	131.5	297599400	131.5
26/10/2006	132.25	135.75	132	132.75	474865700	132.75
27/10/2006	133.5	136	133.25	134.25	440566200	134.25
30/10/2006	131.75	135	131.75	134	344228800	134
31/10/2006	134.25	136.75	133.5	135	543708200	135
01/11/2006	135.25	136.75	135	135.5	403161400	135.5
02/11/2006	135.5	136	133.5	135.5	508767900	135.5
03/11/2006	135.25	135.75	133.75	134	210028100	134
06/11/2006	134.75	135.25	133.25	134.5	209712900	134.5
07/11/2006	135	135	132.25	133	280403400	133
08/11/2006	132.25	133	131.5	132	253723400	132
09/11/2006	132.25	135	132.25	134	459777400	134
10/11/2006	133.75	136.25	133.5	134.5	353257400	134.5
13/11/2006	134.5	136.75	134.25	136	344500900	136
14/11/2006	140.5	141.5	134.75	135.5	620991400	135.5
15/11/2006	138	139.5	137.5	139	448219700	139
16/11/2006	138.5	140	137.75	139.25	251529600	139.25
17/11/2006	138.75	139	137.25	137.5	271375000	137.5
20/11/2006	137	138.5	136.5	137.75	276267300	137.75
21/11/2006	138	138.75	137.25	137.25	417432900	137.25
22/11/2006	136	137.25	133	133.5	341812900	133.5
23/11/2006	134.25	135.75	134	135	239042700	135
24/11/2006	135.25	136.75	133	135.75	332752100	135.75
27/11/2006	135.25	136	133.25	133.25	432684400	133.25
28/11/2006	133	133.5	131.75	132.75	356693500	132.75
29/11/2006	133.75	134.75	132.75	134.5	246981100	134.5
30/11/2006	134.25	135.75	133.5	134.5	317737200	134.5
01/12/2006	134.5	135.25	132.5	132.5	313579500	132.5
04/12/2006	133	135	133	135	217873500	135
05/12/2006	136.5	138.5	136.5	138.25	360466900	138.25
06/12/2006	138.25	138.5	136	136.5	320402100	136.5
07/12/2006	136.25	137.25	135.5	137.25	212588300	137.25
08/12/2006	137	139	136	138.25	412293200	138.25
11/12/2006	139	139.75	137.75	138.25	203197700	138.25
12/12/2006	138	141.25	137.75	141	382593900	141
13/12/2006	140.75	143.75	140.5	143.5	438181100	143.5
